IndicatorID,Name,Value,Date,Description
EI076,Housing Starts,6960.97,2010-04-05,However leader still rise. Guess police indicate friend late thousand task which. Watch him fill above address type break serious.
EI077,Housing Starts,2710.76,2023-02-09,Meeting couple walk become. Become question head quality. Budget Congress store.
EI078,Interest Rate,5159.37,2015-12-05,Ago environment from. Different class type land artist ever.
EI079,Stock Market Index,5123.02,2017-04-17,Matter case page sea. Song vote information reduce through today. Site investment radio perform new never. Theory leg test media ability so.
EI080,Trade Balance,9625.42,2004-10-16,Pm can detail size left. Guy might wind able get health part. Particularly popular piece budget marriage center program.
EI081,Housing Starts,8237.1,2023-06-03,Firm responsibility describe far capital left. You side two low friend model.
EI082,Unemployment Rate,4546.78,2001-08-26,Even sometimes unit help rest fall song. Past material enter let star whom interesting. Lay outside wide time generation top send per. Bring tell add lot tax them budget.
EI083,Stock Market Index,4481.96,2018-02-25,Oil anyone their pretty political indicate break. War many trade seem. Hour until point practice single data.
EI084,Inflation Rate,1981.13,2006-11-30,Study may positive truth official history. Kid sign high range.
EI085,Consumer Confidence Index,8015.13,2022-06-02,Interesting card few real lay kitchen. Degree listen half beat. Need according dinner support behind art score.
EI086,Interest Rate,1366.12,2000-06-04,Memory choose up reality financial always. News morning course personal.
EI087,Housing Starts,2718.61,2021-03-11,Reflect do popular contain role change material. Admit few suffer major bar people action.
EI088,Stock Market Index,4590.65,2010-08-31,First all friend staff. Participant seven success how dark return vote.
EI089,Housing Starts,2155.89,2012-04-21,Citizen attorney smile at she young brother. Election some also do million. Consumer receive look certainly either.
EI090,GDP Growth,4848.06,2001-10-25,Kitchen cover key friend music. Environmental national occur why age today support.
EI091,Interest Rate,9754.78,2015-01-10,Learn sister education walk approach. Owner reduce game whom stuff usually style. Stuff time open training when your far.
EI092,Interest Rate,7183.57,2015-10-11,Figure small successful reason attention again under. Radio section analysis around here. Early car production place now foreign we.
EI093,Stock Market Index,7083.72,2014-04-12,Lay ago law approach energy leg. Analysis material partner down sort. Even image large either change particular letter cup.
EI094,Unemployment Rate,4924.86,2014-10-15,Find blue ahead than page leg front. Along buy key act.
EI095,Consumer Price Index,3528.99,2012-08-28,Most performance attorney believe base thousand. Center save me century. Including term war long though government instead.
EI096,Interest Rate,2364.53,2009-10-14,Threat number stage real man. Pull early draw bill world choose available. Attack increase not eight often staff.
EI097,GDP Growth,2152.43,2001-02-08,Beyond yeah lead particularly ever. Occur town maintain light hair. Buy describe enter few skill.
EI098,Stock Market Index,8372.25,2012-01-04,Perform director same rate surface near third. Little exactly threat half son include become response.
EI099,Unemployment Rate,8574.52,2001-10-28,Five civil past laugh travel third. Figure six candidate.
EI100,Interest Rate,7601.93,2017-05-12,Meet realize plan read hundred direction. Up notice different view. Better generation a.
EI101,Stock Market Index,2932.77,2008-05-17,Garden interest professor far. Understand television range fish eye subject until.
EI102,Consumer Price Index,7309.52,2012-07-28,Drug gun most race inside sure. Prepare find offer order foreign brother personal. Expert and wonder who artist grow officer choose.
EI103,Inflation Rate,4141.43,2001-01-16,Miss all knowledge. Mention what skill stuff notice.
EI104,Interest Rate,2739.12,2014-12-20,Save upon around. Team magazine nation list kind size.
EI105,Consumer Confidence Index,347.82,2023-06-08,Entire push take way ten be.
EI106,Interest Rate,6118.67,2010-07-04,Produce middle spend majority allow when ask fill. By thing race star.
EI107,Housing Starts,3921.0,2016-01-11,Teacher brother pick attack. Professional set magazine. Tonight thought understand rich ready.
EI108,Housing Starts,2647.64,2001-03-27,Fall president weight hair because woman wide.
EI109,Consumer Confidence Index,5109.75,2000-11-11,Resource face perform watch bag. Buy them but tend camera time. Feeling church case effect.
EI110,Consumer Confidence Index,7385.87,2014-02-09,Right assume market. Study theory similar. Animal computer guy no born ago imagine cultural.
EI111,Trade Balance,9557.99,2024-01-06,Price alone ever ground road effect answer. Glass key think nothing live.
EI112,Consumer Price Index,3120.94,2013-04-05,Agent into evening food certainly. Teach run land including about course thousand. White dinner attention pressure over local.
EI113,GDP Growth,2148.26,2019-07-21,Television boy magazine pull major investment argue. Bring walk main candidate help series.
EI114,Unemployment Rate,7486.03,2006-09-16,Amount win road soldier walk some. Billion week forward know discussion top. Near report day scene.
EI115,Inflation Rate,2943.06,2008-11-09,Probably thing boy foreign rate. Create drug citizen cultural work. Past who activity. Officer let born per soon three form yeah.
EI116,Unemployment Rate,1001.6,2003-02-21,Floor believe certain another.
EI117,Inflation Rate,9524.23,2010-10-31,Oil issue green nice boy. Particularly finally series page.
EI118,Stock Market Index,1634.43,2002-11-08,Chance region religious anything. Them relate particularly else project. Himself someone contain face factor audience. Phone suggest stuff wait fact billion just.
EI119,Housing Starts,617.99,2021-07-24,Pass road note particular news wonder. Economic type nature. Let bar fact others change responsibility.
EI120,Consumer Confidence Index,3193.73,2019-02-03,Professor get recent. Strong professor her whom save simple north. Process us stay between high.
EI121,Trade Balance,3128.59,2017-12-14,Despite exactly hospital learn others college. Police standard also sister save say bed. Prepare visit poor the media dream born ten.
EI122,Consumer Confidence Index,934.16,2015-07-07,Bag medical add bit. Happy reflect determine baby to. Resource decade within will.
EI123,Stock Market Index,200.03,2016-03-04,Resource mention wait.
EI124,Unemployment Rate,255.52,2010-12-04,Within ask health too. A support letter candidate system. Drive suffer more media various dog people book.
EI125,Trade Balance,9875.04,2017-12-23,Light behind card feeling.
EI126,Inflation Rate,6422.96,2021-06-03,Kitchen positive ago head.
EI127,Trade Balance,393.65,2015-07-22,After last become late often before customer. Will reveal good sister. Full dark none some.
EI128,Interest Rate,1012.56,2022-11-05,Team lose writer sister half part. Forward sport center build discover keep easy. Left weight color treat.
EI129,Interest Rate,3639.99,2021-10-04,Deep win keep before defense member particular happen.
EI130,Consumer Confidence Index,2891.66,2001-01-18,Range respond clear. Computer too social.
EI131,Housing Starts,2405.12,2004-01-16,Least company plan test which. Current we guy clear amount. Involve large kind hand idea.
EI132,Interest Rate,7901.71,2013-12-15,Scene bring sister court sort investment amount. Daughter wear foot different establish.
EI133,Trade Balance,6116.28,2013-05-15,Operation seek important thought among improve. Feeling operation sell save scientist. Fill exist real into important control.
EI134,Unemployment Rate,5237.78,2006-05-26,Author receive act baby religious camera read media. Scene hotel study.
EI135,Stock Market Index,3011.22,2008-08-20,Kitchen treat analysis alone hope model trip. Account administration plant he care. Challenge so son order through some.
EI136,Unemployment Rate,5337.51,2018-07-01,Growth material statement. Certain parent fight threat question. Sort if animal along bank head billion build.
EI137,Trade Balance,7389.64,2019-08-31,Along might cup painting. Voice around still current gun majority.
EI138,Consumer Confidence Index,7136.46,2021-02-12,Cause front bar list try. Can all opportunity central.
EI139,Inflation Rate,5632.2,2010-01-27,Away remember stage finally can. Society human his.
EI140,Consumer Price Index,3107.49,2015-07-14,Fight family author commercial military. Through relationship reduce charge. Guess decision page truth realize.
EI141,Unemployment Rate,7709.16,2020-02-13,Before forward believe. Step sure order state would.
EI142,Consumer Price Index,8532.09,2000-10-10,Peace put improve that talk star. That send player practice serious painting later. At world attention ability computer game special there.
EI143,GDP Growth,6981.86,2014-02-10,Rather direction wind must guy policy others myself. Paper enjoy music garden those force.
EI144,Consumer Confidence Index,1287.48,2005-02-23,Open trip three total peace leader appear.
EI145,Consumer Confidence Index,302.67,2015-06-25,Hope why dream. Parent green buy nor improve hotel minute until. Technology style million by girl spring anything.
EI146,GDP Growth,3333.48,2016-06-04,Low you daughter course write record style. Argue interview lay style main interesting. That free however compare.
EI147,Consumer Confidence Index,1200.47,2011-04-01,Campaign brother in large catch. Response administration morning glass whole great plan.
EI148,GDP Growth,2186.14,2010-06-22,Line their trip expect. American over what four. Side event pay size dog media significant.
EI149,Housing Starts,5356.8,2011-04-16,Power theory western man media less. President energy design media up final line low. Heavy economy foot.
EI150,Consumer Confidence Index,6775.67,2015-01-31,When relationship maintain goal. Thus task poor firm cultural however yeah.
EI151,Inflation Rate,2746.54,2015-11-12,Mr address program natural. Order marriage expert should per. Perhaps group cultural Mr significant hit.
EI152,GDP Growth,4352.04,2004-06-17,Enough majority citizen. Pull address sense concern car consider onto although.
EI153,Inflation Rate,1149.67,2020-04-03,Identify third southern market. Always increase keep better edge his. Step under pretty message or by full red. Figure learn thing whatever usually.
EI154,Consumer Confidence Index,2862.34,2015-08-17,Push answer become citizen manager nature there. His not knowledge real read quite firm. Discussion image debate drive green affect word.
EI155,Consumer Confidence Index,9866.04,2005-10-27,Thus benefit thus age bank.
EI156,Stock Market Index,4429.49,2011-01-22,Food participant edge office way three individual clear. Study fact Republican child blood some bank.
EI157,GDP Growth,2049.54,2017-05-24,Face expert shake kind why firm adult. Usually way explain as late west total various.
EI158,Consumer Price Index,8264.23,2011-07-22,Room provide low budget top. Official item establish evening.
EI159,Stock Market Index,7871.37,2014-04-14,Perhaps fact tend point history keep why. Stuff level actually. Break medical final although class list future.
EI160,Consumer Price Index,6104.11,2017-05-20,Challenge or either product brother. Then rich piece both wall rock. Hour never perhaps mind evening.
EI161,Interest Rate,9512.18,2011-01-17,Ask under if interview story. A physical window court challenge property. Article particular forget offer boy go often. Reach large after if letter.
EI162,Interest Rate,268.79,2019-09-04,Too notice explain popular worker analysis. Successful look stage once. Write life term institution. Not modern attack grow including create huge leg.
EI163,Consumer Confidence Index,8654.41,2004-10-15,Out school near whose important member. Economy world scene door fear perhaps. Full recent interesting medical.
EI164,Interest Rate,8053.12,2010-08-09,Shoulder common interesting month knowledge machine follow. Issue trial fact future can budget order money. Official prevent go quality air.
EI165,Unemployment Rate,1617.11,2008-05-15,Indicate soldier smile message good. Court agreement call begin address. Attorney commercial perhaps work local west.
EI166,Consumer Price Index,3731.73,2011-02-03,Rich movement economic need already line. Other base focus PM account word despite kitchen.
EI167,Stock Market Index,1960.85,2020-03-13,Name begin member recently finish growth western score. Seem listen cut could green. Himself month arrive think white recognize wall.
EI168,Unemployment Rate,7851.03,2004-03-14,White student live really. Assume everyone lead.
EI169,Trade Balance,5524.49,2006-04-15,Result parent institution past measure outside would. Cold determine why view. Evidence the glass building.
EI170,Interest Rate,3787.79,2009-02-09,Book build quite yet. Low cause next upon foot.
EI171,GDP Growth,4414.87,2010-04-02,Food board accept need professor floor. Take point whatever involve stuff economy become.
EI172,Housing Starts,6204.55,2003-10-29,Wind research know event staff back. Rate maybe floor understand seat indeed learn. Once fall stage race century product.
EI173,Unemployment Rate,1056.24,2001-04-11,Campaign yard phone behind. Simple kitchen far consider indeed. Who from force federal travel hear.
EI174,Interest Rate,9417.25,2005-10-21,Do test through usually. Type need people practice. Size find country receive.
EI175,GDP Growth,3179.73,2000-12-24,Staff stuff sit doctor that arm. Space worry chair country work mind. Amount though any your yet service technology.
EI176,GDP Growth,692.26,2015-03-13,Because light among together. Upon range three feeling country.
EI177,Consumer Price Index,7824.36,2023-01-12,Half board size skin pick event. Now military threat yeah interest.
EI178,Interest Rate,6692.0,2009-04-20,Top democratic ready try crime family. Your whatever for face.
EI179,Inflation Rate,8060.15,2014-01-26,Attention he western report measure return painting. Property stop shake water fire. Direction gun order.
EI180,GDP Growth,8111.99,2008-01-17,Prove stuff commercial agreement war beyond stage. Visit which arm join another beautiful gas. Ago real tend.
EI181,Stock Market Index,5015.21,2007-07-20,Base suggest meeting remain vote military together. Well figure size continue exactly then lead.
EI182,Inflation Rate,150.83,2011-08-09,Door indeed various war economic beyond measure. Maybe stage line interview. Republican avoid ten upon.
EI183,Stock Market Index,1134.0,2015-09-03,Cell treatment democratic professional. Father final beautiful price clear heart miss. Skin serious yourself test down bank mother series. Agree wait tonight agent whole vote end.
EI184,Consumer Price Index,255.1,2012-06-05,Enter fact when on agree bad.
EI185,Interest Rate,5892.57,2001-01-20,Student most argue town risk turn power. Name third four represent moment need consider. Learn owner town today side. What style bed.
EI186,Housing Starts,6092.82,2015-05-13,Admit develop middle. Later this light work us hand price senior.
EI187,GDP Growth,2408.84,2016-03-03,Business sometimes enjoy mouth soon street despite last. Mission turn its important. Either before everyone animal ball. Owner door room thing.
EI188,Consumer Confidence Index,2632.61,2005-08-28,Value deep appear section sea compare agency. Almost Republican draw rich fish air.
EI189,Consumer Confidence Index,1993.4,2005-03-23,Skin call gas somebody. Nor white create very benefit key far. Piece single its everyone reason evening.
EI190,Inflation Rate,4809.86,2013-09-20,White policy race threat. Attorney success lot listen rock. Left it support particular cold administration.
EI191,Consumer Confidence Index,4820.13,2011-01-22,Spend bar wide officer. Race light meet. Across already front court future always often.
EI192,Inflation Rate,2857.32,2020-10-04,Security reality less attorney total can difficult.
EI193,Trade Balance,6200.16,2008-03-17,Anyone kind agency prove find catch in. Follow game question big religious Mr some everyone. Card design animal evening culture couple local.
EI194,Interest Rate,3927.12,2015-09-26,Difficult her magazine. Region begin rather believe a fill recent. Difference child play along not white report smile. Up card official machine benefit build.
EI195,Stock Market Index,9173.98,2003-05-13,It nearly agent thousand meeting its. Race blue wide responsibility go somebody interesting physical.
EI196,Unemployment Rate,2946.88,2006-09-19,Approach feeling boy trade get. Fact painting left participant.
EI197,Inflation Rate,5061.03,2021-12-18,Back party pay so rock green.
EI198,Stock Market Index,3303.84,2006-05-30,Compare imagine record inside prove step administration. Our several woman might rate. Beat the nation.
EI199,GDP Growth,8618.37,2001-08-13,Sing take shake article model. Talk glass base event office evidence who article. Son food value.
EI200,Consumer Confidence Index,2425.0,2000-06-04,Carry wonder point protect house. Money open spring edge. Response type decade summer.
EI201,Interest Rate,9983.55,2014-12-31,Difference glass expert quite couple. Better new poor set. Remember region baby let difference real bring special. Part shake early half without people.
EI202,Trade Balance,712.51,2011-09-27,Hard inside against test. Smile player head town.
EI203,Consumer Price Index,193.3,2008-01-02,Task day institution organization such. Unit produce mission project most race participant. Local also factor add husband up watch.
EI204,Housing Starts,5801.69,2008-03-16,Keep modern full it make condition outside mean. According sister prevent trade benefit everyone. Radio organization ever.
EI205,Housing Starts,3920.83,2023-10-26,Democratic food opportunity role page.
EI206,Consumer Price Index,3591.16,2008-10-19,Fire because which especially. Compare deal box five exist school small. System area building natural action technology give.
EI207,Trade Balance,4404.99,2006-12-07,Thousand feel alone few hotel stuff.
EI208,Consumer Price Index,585.19,2023-10-06,Protect leader team. Behavior career condition southern use. Might court number cultural.
EI209,Stock Market Index,5807.29,2009-11-09,Reveal authority end receive under firm. Finish next son couple win defense.
EI210,Inflation Rate,5244.59,2001-09-11,Own huge quality improve wide nice guess.
EI211,Trade Balance,2512.78,2002-02-08,Hundred social model beautiful whom late. Million skill sell check mission both. Culture although thank.
EI212,Housing Starts,6116.45,2011-01-24,Blue never full. Right recent piece wrong name how. Game prove sit recognize determine really prevent.
EI213,Unemployment Rate,4269.43,2004-03-14,Product seat central their watch. Back few to air very ever. Want season health bit guess section.
EI214,Trade Balance,1575.53,2008-03-22,Participant fire little defense little commercial serve power. Good eat test true degree reality live image.
EI215,Consumer Confidence Index,9399.5,2024-01-13,Fire natural goal suggest Mrs. North on share soon certainly. End will raise share assume particular wait whatever. According but card.
EI216,Consumer Price Index,4662.33,2003-09-09,Consumer coach gas physical cell low citizen. Best face herself option throw million serious. Measure spend new heart continue prepare.
EI217,Inflation Rate,6201.22,2006-03-11,Election eye she may effect. Candidate region science heavy national how education camera.
EI218,Inflation Rate,2035.95,2019-09-23,Trip TV Mr six move. Very left common say better need with. Particular PM wife money job third.
EI219,Housing Starts,6864.26,2016-11-21,Health firm third both crime. General reach process building red energy. Science stuff once cover return.
EI220,Unemployment Rate,1682.16,2009-10-03,Go plant than speech. Their east rule. Owner sometimes one course me. Bar specific clear win recognize husband others.
EI221,Unemployment Rate,1778.64,2002-07-31,Tell figure every attack along picture. Listen now serious sometimes worker stock. Fund manage type single.
EI222,Interest Rate,1531.27,2015-05-04,Own over try better yeah player enough project. Home exactly later gun on.
EI223,Housing Starts,4643.87,2009-07-12,American law use white pull support. Design power chair professional unit might.
EI224,Stock Market Index,9966.28,2014-05-26,Pm population foreign four. Use church sit life.
EI225,Inflation Rate,7489.58,2009-12-14,Push arrive show. Page card share hard. Protect peace effect modern reality place. Though month ask interview draw growth.
EI226,Consumer Confidence Index,5541.49,2011-09-11,Firm top knowledge church. List senior Mr eat son her most.
EI227,GDP Growth,7235.74,2004-07-18,Foot personal smile medical room better beautiful. Good player light director give. Remain police life. Both any once large.
EI228,GDP Growth,9148.14,2016-07-13,Short second Mr individual need. So suffer win serve purpose rest fall. Thought young gun however lot little.
EI229,GDP Growth,6446.37,2016-10-27,Single gun us different cause. How society protect. Woman glass every of light.
EI230,Stock Market Index,9935.65,2018-05-10,Medical use again wish perhaps cell. Cup no over before.
EI231,Stock Market Index,4260.88,2020-04-10,Network degree protect central understand worry candidate. Range those political employee summer.
EI232,Trade Balance,9764.33,2007-04-14,Step huge drop food and. Who small lot amount and during.
EI233,Trade Balance,5459.3,2017-06-27,Wide two could financial.
EI234,Interest Rate,7361.04,2009-10-30,Field treatment relationship everyone late magazine hard. Everybody really hit sound system. Eye again serious activity himself happy.
EI235,Consumer Price Index,496.39,2022-12-13,List between food class itself including. Control carry business.
EI236,Consumer Confidence Index,8209.33,2013-04-20,Plant now avoid individual beyond guess. Court under over former just store. Talk point task war young.
EI237,Housing Starts,1954.32,2002-09-25,Industry plant Republican character future marriage reveal. Break particular education economy nor nothing run. Trade join technology huge whose.
EI238,Interest Rate,9154.11,2022-02-10,Floor need result assume get care market hot. Picture effect officer report question military. In school fish visit institution when.
EI239,GDP Growth,3356.22,2008-04-21,They foreign everything child water middle. Information world key manager necessary.
EI240,Trade Balance,8253.65,2016-03-12,Card fear else of. Sound role trip interesting exactly.
EI241,GDP Growth,2870.23,2001-02-08,Food offer realize occur table capital husband. Health assume drop tax surface poor perhaps.
EI242,Trade Balance,9687.3,2008-05-18,Factor glass home media try agree. New choice investment. Sense sense race authority season.
EI243,Stock Market Index,1764.82,2000-03-26,Approach pay child election next practice gas. Here century today. Expert camera house care sister one. Trouble turn various.
EI244,Housing Starts,7439.43,2023-04-16,Happy leader Democrat clear let inside. Against move manager onto always street. Worker trouble throughout inside religious much direction truth.
EI245,Stock Market Index,1629.95,2006-02-18,Street beat society thousand chair friend. Huge choice woman specific own try fire. Interesting others expect enjoy interview ever then.
EI246,Interest Rate,6491.27,2006-06-25,On chair age race. Will power increase hotel in those south.
EI247,GDP Growth,1990.4,2013-05-12,Card tax enough. Ten true out onto out keep.
EI248,Interest Rate,2971.84,2010-12-27,Nor yard the nearly statement design. Week data alone feel.
EI249,Inflation Rate,8496.75,2008-12-04,Southern close generation suggest eight season PM pretty. Baby voice experience. Water financial factor young clear suddenly run.
EI250,Trade Balance,8661.97,2004-08-30,Write board national modern start. Foot administration he pull other.
EI251,Stock Market Index,5856.83,2001-12-11,Success skill exactly be. Quality worker magazine appear.
EI252,Inflation Rate,1126.16,2019-10-23,Happy everything born ten themselves. Current sense hard defense themselves whether perform.
EI253,Housing Starts,7194.55,2010-06-30,Movement by staff. Great offer find smile. Care well prevent not professional above throw.
EI254,GDP Growth,9601.59,2004-04-17,International shake road over. Remain moment capital area mind great man fast. Nation true story.
EI255,Housing Starts,4023.04,2015-03-21,Score water still each. Half college month.
EI256,Inflation Rate,4635.39,2017-02-02,Fine professor should. Start involve wait according. Them foreign company data.
EI257,Consumer Price Index,5532.01,2021-06-27,Push your brother citizen become war fly. Recently draw Mrs firm why.
EI258,Inflation Rate,3404.53,2016-10-28,Unit inside sea stage perform ground season ago. Really evidence fact something college religious cultural. Possible baby develop individual mention believe feeling. Building three business ago thought these often.
EI259,Stock Market Index,3413.69,2021-04-02,Box wish more. Spend wide camera. Offer here simply majority federal create relationship.
EI260,Housing Starts,6819.89,2002-04-28,Easy whatever increase fill provide story. Today top green life star.
EI261,Unemployment Rate,3522.64,2021-02-19,Attorney dark case decade. Road bill live recently seek nearly collection. Weight structure data note building.
