ComplianceID,FundID,ComplianceMetric,Date,Value,Description
CD0033,DODWX,Metric G,2011-03-17,30.48,Worry avoid future reduce change wrong.
CD0034,DODWX,Metric E,2012-07-31,46.39,Everything become operation career improve fly.
CD0035,DODWX,Metric L,2008-11-10,38.65,Air feel capital include truth provide upon development.
CD0036,DODWX,Metric Q,2009-04-26,15.46,Quickly want beautiful floor story significant.
CD0037,DODWX,Metric P,2019-04-24,89.02,Nearly throughout threat my career.
CD0038,DODWX,Metric E,2019-07-16,45.95,Spend throughout past church drug make.
CD0039,DODWX,Metric Y,2003-09-30,76.04,Call machine travel kitchen.
CD0040,DODWX,Metric C,2021-07-28,4.03,Plan data growth development policy speech market.
CD0041,DODWX,Metric Y,2012-08-24,1.1,Two old be building effort stage.
CD0042,DODWX,Metric D,2018-07-31,98.81,Leave power product.
CD0043,DODWX,Metric H,2003-05-06,77.12,Example policy lead.
CD0044,DODWX,Metric N,2022-12-31,80.9,Rule seek they.
CD0045,DODWX,Metric G,2003-11-03,67.17,Teacher professional watch.
CD0046,DODWX,Metric T,2006-09-03,73.31,Site society pass good decade.
CD0047,DODWX,Metric L,2017-10-22,95.71,Assume everybody power her yeah west strong.
CD0048,DODWX,Metric C,2016-03-31,87.7,Management develop even particularly series class.
CD0049,DODWX,Metric R,2015-01-01,90.05,Company goal money continue beyond.
CD0050,DODWX,Metric C,2010-09-18,98.06,None write agree somebody meet you vote stop.
CD0051,DODWX,Metric K,2015-12-11,56.8,Major parent learn commercial.
CD0052,DODWX,Metric I,2017-08-16,30.49,Picture then so.
CD0053,DODWX,Metric E,2004-06-10,78.96,Throw difference young training design along remember.
CD0054,DODWX,Metric Y,2019-05-19,3.66,Leave hospital appear source moment.
CD0055,DODWX,Metric O,2006-06-06,87.21,Too onto real with sometimes manage wide.
CD0056,DODWX,Metric X,2004-11-28,64.4,Fine difficult mother.
CD0057,DODWX,Metric C,2008-07-20,87.81,Man majority sign wait personal us.
CD0058,DODWX,Metric Y,2018-05-11,2.59,Hotel friend consumer.
CD0059,DODWX,Metric B,2014-10-30,38.67,Hit again lay sea see black seem.
CD0060,DODWX,Metric O,2015-11-13,52.47,Easy carry security matter official.
CD0061,DODWX,Metric V,2017-06-26,67.94,Remain purpose painting benefit make draw.
CD0062,DODWX,Metric E,2012-06-07,7.42,Themselves as arrive democratic.
CD0063,DODWX,Metric Y,2009-01-31,32.71,Science also star debate instead resource street.
CD0064,DODWX,Metric O,2017-03-11,15.24,Young itself bring red me the.
CD0065,DODWX,Metric S,2007-08-20,29.29,Sea clearly hotel the second share.
CD0066,DODFX,Metric D,2023-02-15,51.82,Difference spend history break total law.
CD0067,DODFX,Metric C,2006-07-22,28.31,Military various we note wind smile ground.
CD0068,DODFX,Metric E,2023-05-05,51.34,Ten occur he hand too leader.
CD0069,DODFX,Metric O,2020-09-21,1.53,Place trouble kid door ten.
CD0070,DODFX,Metric Y,2017-11-25,50.27,Drug stage let ever similar seven owner.
CD0071,DODFX,Metric X,2024-02-04,52.62,Case price budget organization focus product natural.
CD0072,DODFX,Metric V,2024-01-11,96.55,Official best market affect thing seven.
CD0073,DODFX,Metric B,2021-03-12,83.93,Above range speak until result.
CD0074,DODFX,Metric P,2008-02-03,28.35,Focus half reflect beat.
CD0075,DODFX,Metric Z,2002-08-30,50.48,Child dinner grow free.
CD0076,DODFX,Metric F,2001-12-08,87.75,Likely population born since read end.
CD0077,DODFX,Metric M,2019-01-23,85.82,Without happen claim fill offer level.
CD0078,DODFX,Metric Q,2017-08-19,40.04,Director parent always future one yes learn.
CD0079,DODFX,Metric I,2001-07-09,43.62,Man between available.
CD0080,DODFX,Metric Y,2017-03-08,65.22,Successful both eight fear person.
CD0081,DODFX,Metric K,2020-11-27,3.91,Tax dark lot culture.
CD0082,DODFX,Metric I,2013-03-13,38.82,Hospital in new possible.
CD0083,DODFX,Metric P,2009-03-21,34.89,Stand time kind ability.
CD0084,DODFX,Metric K,2016-03-15,61.53,Adult suddenly television bank.
CD0085,DODFX,Metric Q,2010-05-13,18.34,Resource indicate miss enjoy offer bad than fund.
CD0086,DODFX,Metric U,2018-03-06,15.8,To room lot moment.
CD0087,DODFX,Metric L,2013-07-31,38.54,Investment truth former get by financial.
CD0088,DODFX,Metric Y,2004-10-30,12.32,Plan two great before system none.
CD0089,DODFX,Metric O,2005-02-20,73.22,Brother different carry company.
CD0090,DODFX,Metric J,2011-03-11,6.71,Window loss check such relate.
CD0091,DODFX,Metric K,2018-09-25,58.46,Night good sing guy least class of.
CD0092,DODFX,Metric T,2003-09-11,50.84,Lot defense lead project no.
CD0093,DODFX,Metric G,2007-03-02,35.27,Even message however police.
CD0094,DODFX,Metric Y,2017-10-27,36.59,Brother than light understand hour.
CD0095,DODFX,Metric Z,2013-11-23,96.11,Allow conference better of word news game.
CD0096,DODFX,Metric R,2002-06-17,11.34,Office him election image.
CD0097,DODFX,Metric E,2006-10-06,43.21,Old tree need that artist.
CD0098,DODFX,Metric V,2010-06-25,62.55,Treat few threat spring pick free.
CD0099,DODFX,Metric H,2009-07-10,41.19,Support PM heart.
CD0100,DODFX,Metric L,2018-12-28,32.89,Pretty figure view customer herself seven surface.
CD0101,DODFX,Metric J,2001-09-07,44.37,Gun kid full though the discuss their.
CD0102,DODFX,Metric L,2022-12-28,20.33,Great involve field relationship begin room.
CD0103,DODIX,Metric W,2019-08-26,87.4,College form decision rock.
CD0104,DODIX,Metric R,2003-04-15,70.72,How receive think mouth win.
CD0105,DODIX,Metric N,2007-08-16,71.75,Which like show president her push.
CD0106,DODIX,Metric N,2018-02-19,62.48,Allow reveal nice.
CD0107,DODIX,Metric Y,2007-06-13,69.43,Same call offer.
CD0108,DODIX,Metric H,2011-02-05,72.81,Five create write three research.
CD0109,DODIX,Metric E,2021-07-22,63.02,Parent true member meet full step business.
CD0110,DODIX,Metric D,2012-03-09,81.25,Particularly recent family Democrat her letter party hundred.
CD0111,DODIX,Metric R,2003-05-30,96.21,Experience from western often weight action.
CD0112,DODIX,Metric A,2010-10-21,88.49,Administration example fire financial really full treat.
CD0113,DODIX,Metric L,2020-03-17,24.3,Beautiful low according poor cup agreement.
CD0114,DODIX,Metric Q,2019-12-08,40.39,Management ago responsibility ok movement agency trip.
CD0115,DODIX,Metric V,2013-09-18,19.15,Pass total the mission both physical.
CD0116,DODIX,Metric H,2006-02-26,4.56,Beyond large adult.
CD0117,DODIX,Metric G,2014-03-04,22.24,Thousand energy management agree financial young hold.
CD0118,DODIX,Metric E,2022-01-18,37.61,Time quickly relate without may response.
CD0119,DODIX,Metric O,2008-08-08,72.35,Everything Republican decide.
CD0120,DODIX,Metric H,2013-06-08,84.69,Medical build free strong billion region.
CD0121,DODIX,Metric B,2022-05-17,23.39,Value be candidate relate dog.
CD0122,DODIX,Metric N,2021-09-13,77.23,Enjoy whatever ball school early pattern.
CD0123,DODIX,Metric W,2022-05-28,20.94,Pass same ready never.
CD0124,DODIX,Metric U,2003-09-02,47.46,Nice lawyer cause push color.
CD0125,DODIX,Metric A,2018-06-22,68.06,Establish modern person see society million election doctor.
CD0126,DODIX,Metric B,2014-05-03,37.28,Their phone nice onto own.
CD0127,DODIX,Metric A,2003-05-27,73.89,Support task protect special.
CD0128,DODIX,Metric M,2010-04-15,31.23,Three score TV perhaps.
CD0129,DODIX,Metric O,2020-02-26,65.14,Concern surface still ground student back outside.
CD0130,DODIX,Metric J,2023-03-25,12.59,Home serve score maintain.
CD0131,DODIX,Metric V,2008-07-11,43.0,Much heart war happy impact.
CD0132,DODIX,Metric H,2021-03-25,58.8,Give public tend.
CD0133,DODIX,Metric B,2017-04-18,15.44,Phone any another cup close product.
CD0134,DODIX,Metric P,2003-02-21,40.92,Step indeed between sometimes provide.
CD0135,DODIX,Metric U,2007-01-26,26.07,Notice have against performance man different.
CD0136,DODIX,Metric I,2023-12-15,99.12,For effort officer course easy history.
CD0137,DODIX,Metric B,2024-04-23,20.6,Black back shoulder once technology often.
CD0138,DODIX,Metric X,2003-05-24,15.95,The himself simply and modern region.
CD0139,DODIX,Metric Q,2008-03-08,24.25,Brother describe end pretty authority yes political.
CD0140,DODIX,Metric J,2014-03-25,35.44,Event only voice professional clear trade believe you.
CD0141,DODIX,Metric N,2012-09-15,95.52,Only part summer.
CD0142,DODIX,Metric B,2009-07-10,41.65,Computer husband attack onto fund.
CD0143,DODIX,Metric A,2007-03-30,23.02,Everyone American company charge safe perhaps data.
CD0144,DODIX,Metric S,2023-10-05,83.56,Yourself next matter create particularly detail pretty.
CD0145,DODIX,Metric G,2004-08-31,52.52,Leader note want call bed light short.
CD0146,DODIX,Metric R,2016-10-17,64.49,Relate rather hard option significant factor site.
CD0147,DODIX,Metric D,2019-08-12,89.95,Quite painting bring you theory.
CD0148,DODIX,Metric G,2003-10-07,21.3,Become over window like history.
CD0149,DODIX,Metric T,2021-01-19,86.75,Pm difficult try cup their possible establish.
CD0150,DODIX,Metric D,2005-06-24,62.62,Next theory race different.
CD0151,DODLX,Metric X,2013-12-29,72.81,Long save a security.
CD0152,DODLX,Metric N,2002-10-28,70.96,Because Mrs federal beat too you if.
CD0153,DODLX,Metric F,2012-02-08,45.46,Morning do memory still.
CD0154,DODLX,Metric K,2011-01-02,24.7,Win from special hundred return.
CD0155,DODLX,Metric N,2022-01-13,41.27,Have actually report again watch example.
CD0156,DODLX,Metric M,2011-08-19,58.99,Fill accept nearly help data specific medical.
CD0157,DODLX,Metric Q,2006-03-24,96.67,Nice industry movie.
CD0158,DODLX,Metric S,2018-03-25,74.33,Project conference control sound.
CD0159,DODLX,Metric A,2012-01-02,75.49,Half suddenly one management summer herself.
CD0160,DODLX,Metric A,2017-08-08,53.2,Who think he thus several state.
CD0161,DODLX,Metric Y,2006-01-12,77.2,Station administration music tree.
CD0162,DODLX,Metric C,2011-02-16,11.45,Particularly edge read front.
CD0163,DODLX,Metric L,2003-05-02,41.99,Account option lawyer institution Mr.
CD0164,DODLX,Metric T,2023-04-11,85.73,Include every whatever nice.
CD0165,DODLX,Metric G,2014-02-21,89.1,Example something indeed view outside item Mr.
CD0166,DODLX,Metric L,2023-09-20,68.97,Probably tonight already along team join heavy.
CD0167,DODLX,Metric W,2007-02-07,93.27,How religious fire truth parent seem.
CD0168,DODLX,Metric S,2013-11-25,91.86,Sometimes especially today star.
CD0169,DODLX,Metric C,2020-05-17,7.01,Fine either other charge mouth toward finally write.
CD0170,DODLX,Metric U,2016-05-03,79.23,Scene machine two will whether sea much.
CD0171,DODLX,Metric T,2008-02-29,55.83,Treat person protect indicate it almost.
CD0172,DODLX,Metric A,2012-01-30,72.47,Position book push but purpose crime officer beat.
CD0173,DODLX,Metric F,2012-01-06,32.63,Compare grow face behavior.
CD0174,DODLX,Metric O,2001-10-09,47.65,Rich beautiful seven crime writer.
CD0175,DODLX,Metric J,2012-10-04,9.55,Resource feeling management happen serious ask.
CD0176,DODLX,Metric O,2021-07-01,91.42,Begin treatment low author rule often.
CD0177,DODLX,Metric E,2003-12-18,28.54,Major door what huge short necessary.
CD0178,DODLX,Metric B,2019-12-20,78.55,Report story civil surface machine.
CD0179,DODLX,Metric D,2022-01-01,12.22,Paper trouble situation east lose increase service.
CD0180,DODLX,Metric A,2017-05-13,80.28,Worker current check attorney economic decide sell away.
CD0181,DODLX,Metric F,2023-02-20,76.74,More material wide water.
CD0182,DODLX,Metric Z,2011-09-01,79.66,Activity way civil or your.
CD0183,DODLX,Metric Q,2005-05-31,56.91,Determine history hot second police.
CD0184,DODLX,Metric S,2010-05-29,57.34,Serious same various save nation our enough.
CD0185,DODLX,Metric A,2008-06-21,98.06,Response probably cost assume like wrong.
CD0186,DODLX,Metric H,2022-12-21,19.26,Record finally third I ask.
CD0187,DODLX,Metric M,2012-02-27,48.16,Model lot write case allow.
CD0188,DODLX,Metric X,2011-06-06,80.47,Month occur rich same none develop.
CD0189,DODLX,Metric H,2007-06-02,5.2,Story community physical enough share dinner bag.
CD0190,DODLX,Metric R,2007-07-07,56.7,Century door finally short.
CD0191,DODLX,Metric A,2002-04-01,27.42,Indeed front decade suddenly well poor majority.
CD0192,DODLX,Metric C,2023-12-22,53.15,Ask Mrs simple drug.
CD0193,DODLX,Metric A,2007-05-08,39.16,Study across country down.
CD0194,DODLX,Metric K,2011-07-29,10.79,Score night loss trouble ability including also.
CD0195,DODLX,Metric N,2022-11-08,60.61,Front accept guy guy police.
CD0196,DODLX,Metric Y,2023-09-28,68.28,Box theory top town.
CD0197,DODBX,Metric P,2022-08-18,3.0,Along maybe television door figure thing let stay.
CD0198,DODBX,Metric I,2019-04-26,91.14,Learn lay card food there shoulder to partner.
CD0199,DODBX,Metric Y,2020-11-10,4.15,Under recently run within citizen offer.
CD0200,DODBX,Metric Q,2022-12-14,84.14,Baby begin peace choose fear news.
CD0201,DODBX,Metric V,2018-11-11,87.6,Partner move tend of prove want.
CD0202,DODBX,Metric B,2020-04-30,99.66,Girl toward data fast southern activity consumer.
CD0203,DODBX,Metric Y,2022-06-04,19.99,Smile bag almost.
CD0204,DODBX,Metric P,2022-06-26,63.46,They head reveal through start goal.
CD0205,DODBX,Metric R,2024-01-19,97.82,Attorney director cultural grow.
CD0206,DODBX,Metric C,2021-05-02,15.93,Address these century place either arm.
CD0207,DODBX,Metric X,2021-05-02,75.58,Guy very project behind worker voice program.
CD0208,DODBX,Metric F,2022-03-03,41.59,Check indeed house.
CD0209,DODBX,Metric O,2024-02-23,24.73,Source central make blood rock heavy.
CD0210,DODBX,Metric X,2023-11-04,20.59,Decision small and it.
CD0211,DODBX,Metric Y,2023-09-23,34.87,She inside military case catch daughter say.
CD0212,DODBX,Metric Y,2022-09-12,51.22,Character blood budget blue analysis agent.
CD0213,DODBX,Metric Y,2023-12-07,19.6,Fire important peace sing.
CD0214,DODBX,Metric I,2020-12-20,77.56,Should near exactly until especially return.
CD0215,DODBX,Metric I,2021-12-17,48.44,Mean anyone tough step radio.
CD0216,DODBX,Metric C,2024-03-15,40.1,Speak good pattern usually sense part.
CD0217,DODBX,Metric C,2022-04-23,29.34,Meet sit catch money agree number offer.
CD0218,DODBX,Metric H,2021-05-31,75.49,Doctor approach particular fly street film.
CD0219,DODBX,Metric I,2019-06-30,31.92,Company professor art concern hospital federal imagine address.
CD0220,DODBX,Metric Y,2024-04-12,21.65,Woman newspaper end hair research.
CD0221,DODBX,Metric W,2018-12-04,23.98,Camera later in food.
CD0222,DODBX,Metric Z,2021-10-20,51.48,Personal me range call especially.
CD0223,DODBX,Metric X,2019-04-30,82.13,Office play key great.
CD0224,DODBX,Metric S,2019-10-03,10.27,Appear actually bit and all anything.
CD0225,DODBX,Metric G,2020-12-08,55.43,Without sure service or.
CD0226,DODBX,Metric P,2018-11-05,33.81,By sister could.
CD0227,DODBX,Metric T,2018-11-15,60.9,Throw production strong guess box school.
CD0228,DODBX,Metric M,2021-01-10,98.33,Include scene training history experience detail.
CD0229,DODBX,Metric Q,2022-06-16,52.81,Color I just PM executive every risk.
CD0230,DODBX,Metric W,2020-08-18,57.8,Eight man approach model staff white away.
CD0231,DODBX,Metric A,2020-03-08,88.93,Kitchen several by ball woman huge.
CD0232,DODBX,Metric O,2022-03-18,72.88,Research magazine determine alone.
CD0233,DODBX,Metric D,2018-12-11,9.2,Interest inside similar inside instead.
CD0234,DODBX,Metric W,2023-12-15,47.35,Financial identify road beautiful focus.
CD0235,DODBX,Metric C,2021-10-29,75.52,Cup notice individual prove.
CD0236,DODBX,Metric M,2019-07-20,72.12,Artist change huge certainly subject doctor.
CD0237,DODBX,Metric C,2020-12-20,34.8,List music Mr poor official.
CD0238,DODBX,Metric T,2024-05-08,84.39,Choice painting TV drug line.
CD0239,DODBX,Metric P,2019-04-06,58.77,Listen trip mission question.
CD0240,DODBX,Metric H,2019-03-16,59.01,This interesting we base man.
CD0241,DODBX,Metric C,2022-04-07,98.46,Team scientist thing leave Democrat scientist.
CD0242,DODBX,Metric A,2022-01-30,8.18,Cut couple benefit floor which specific.
CD0243,DODBX,Metric S,2024-03-20,1.94,Myself end make series step war pass.
