RiskID,FundID,MarketRisk,CreditRisk,OperationalRisk,Date,RiskAssessment
RD0028,DODWX,5.76,4.03,1.77,2004-11-24,Early at effect yard media decade.
RD0029,DODWX,0.63,7.24,4.93,2011-03-05,Discussion finally remember.
RD0030,DODWX,5.56,9.68,9.11,2017-12-03,Voice series system represent heavy.
RD0031,DODWX,6.39,7.85,0.15,2003-01-30,Production interest same across.
RD0032,DODWX,0.69,9.91,8.93,2009-03-03,Represent third record.
RD0033,DODWX,0.47,0.62,0.57,2010-05-16,Nature too throughout.
RD0034,DODWX,8.67,6.8,8.99,2020-04-08,Yeah suffer successful really direction late range.
RD0035,DODWX,9.93,1.37,2.39,2010-12-10,Bit skin book.
RD0036,DODWX,9.38,5.53,0.42,2011-06-13,Few inside drive because and protect report month.
RD0037,DODWX,1.66,2.52,9.71,2003-04-26,Because place three turn sure whatever light.
RD0038,DODWX,9.11,1.23,3.49,2020-02-18,Officer wide hope spend research new every.
RD0039,DODWX,6.32,4.06,7.76,2019-09-18,Senior mission go various magazine expert by.
RD0040,DODWX,8.71,5.47,5.26,2014-04-21,Rise final make development.
RD0041,DODWX,3.14,0.34,9.43,2011-11-01,Sort positive quality agreement add.
RD0042,DODWX,9.91,5.66,8.51,2010-10-16,Cultural goal heavy should.
RD0043,DODWX,9.22,8.57,7.01,2019-09-21,Allow item war his.
RD0044,DODFX,5.25,1.31,8.55,2015-11-09,Lawyer price oil from beat state wind though.
RD0045,DODFX,6.39,7.8,0.73,2019-09-24,That up so standard in country body.
RD0046,DODFX,6.42,2.01,0.73,2003-02-06,Though quality human by business get.
RD0047,DODFX,5.36,0.96,1.4,2009-07-29,Must mother force parent speech suffer.
RD0048,DODFX,6.91,1.73,5.04,2014-05-30,So lot pick generation.
RD0049,DODFX,0.56,7.54,8.48,2003-09-26,Activity foreign financial game.
RD0050,DODFX,1.83,3.02,1.76,2008-05-08,Another white they scene.
RD0051,DODFX,8.42,6.95,0.95,2024-03-20,Difference reflect skin rock song off.
RD0052,DODFX,7.32,2.11,5.97,2012-07-24,Else radio the top.
RD0053,DODFX,8.75,8.18,7.53,2018-02-02,Ask modern hot.
RD0054,DODFX,6.77,9.42,2.76,2008-01-04,War off not consider allow name.
RD0055,DODFX,8.03,8.82,5.56,2009-06-10,Prepare house could school picture worry expect.
RD0056,DODFX,6.11,1.37,3.26,2007-04-05,Least meet leader mission read though century light.
RD0057,DODFX,5.46,3.16,6.85,2023-08-20,Over true stage house collection since address now.
RD0058,DODFX,6.64,3.81,9.56,2005-05-05,Floor general reveal compare technology interest.
RD0059,DODFX,7.16,0.93,5.15,2005-01-15,Society return end quite.
RD0060,DODFX,3.77,6.52,7.16,2021-05-13,Western camera later whole man usually.
RD0061,DODFX,4.24,3.16,5.1,2001-07-28,Sit behind theory protect born indeed.
RD0062,DODFX,8.51,9.75,2.17,2021-06-19,Military run sport rule major sea.
RD0063,DODFX,9.93,6.07,3.38,2003-01-11,Center behind organization.
RD0064,DODFX,4.24,6.3,8.54,2003-11-17,Top yes certain charge never need.
RD0065,DODFX,6.69,7.11,7.81,2007-03-21,Former attack statement.
RD0066,DODFX,8.61,2.0,2.17,2020-02-24,Less head research your accept piece.
RD0067,DODFX,7.33,8.2,2.86,2009-11-18,Activity control little.
RD0068,DODFX,8.82,5.32,5.6,2002-01-17,American produce tax card remain international.
RD0069,DODFX,9.41,4.78,8.96,2018-02-15,Kitchen different station pick over.
RD0070,DODFX,8.61,6.58,9.23,2009-06-08,Itself benefit song outside me board.
RD0071,DODFX,9.23,3.88,7.69,2005-07-15,Play purpose group gas.
RD0072,DODFX,3.28,0.81,8.55,2013-07-06,Free American service situation practice.
RD0073,DODFX,1.6,6.95,4.63,2017-09-13,Suddenly key concern evidence.
RD0074,DODFX,6.83,6.78,1.42,2004-04-14,Political remain south daughter theory at.
RD0075,DODFX,2.28,2.04,7.76,2008-11-21,Simply president easy thus generation.
RD0076,DODFX,5.22,3.78,7.54,2010-11-08,Perform participant but PM garden tax important they.
RD0077,DODFX,1.56,3.07,2.2,2017-12-24,Remain act that bad training.
RD0078,DODFX,4.84,5.82,1.68,2016-07-02,Heavy animal food positive film road its.
RD0079,DODIX,2.02,3.1,8.56,2013-02-04,Black friend agree management.
RD0080,DODIX,0.07,3.4,8.5,2012-05-11,Also water a record range.
RD0081,DODIX,4.38,4.26,3.17,2003-11-02,Professional item country during.
RD0082,DODIX,4.44,4.34,1.69,2007-08-17,Imagine board key three.
RD0083,DODIX,6.32,8.23,7.09,2012-08-31,Amount couple against Mr finally four executive.
RD0084,DODIX,2.29,6.73,3.45,2016-06-20,Central effort peace generation face full bad.
RD0085,DODIX,7.29,5.46,6.53,2014-12-12,Loss century power suddenly door partner company us.
RD0086,DODIX,4.54,9.44,4.08,2020-08-31,Race avoid thought catch.
RD0087,DODIX,0.31,4.12,3.05,2020-08-21,Peace sister including view daughter process particularly.
RD0088,DODIX,6.69,1.33,1.62,2023-10-10,Laugh as concern news mission face art.
RD0089,DODIX,2.83,1.5,0.72,2006-01-15,During exist page senior line industry cut.
RD0090,DODIX,3.66,9.6,4.88,2016-04-01,Look see scientist wish dinner.
RD0091,DODIX,9.34,5.51,6.04,2021-01-06,Despite drop head bar.
RD0092,DODIX,9.26,9.34,5.27,2020-01-28,Actually affect challenge year toward in move.
RD0093,DODIX,8.3,6.01,3.93,2021-04-10,Toward notice reveal health.
RD0094,DODIX,2.51,5.11,9.33,2007-03-01,Common plant step trouble hair.
RD0095,DODIX,8.73,2.74,0.68,2008-06-07,Somebody fast today finish house American left east.
RD0096,DODIX,7.95,2.68,6.05,2017-01-02,Student theory there describe ok enjoy feeling.
RD0097,DODIX,1.8,0.54,5.59,2021-12-04,Education list by suffer pressure many dog event.
RD0098,DODLX,5.83,9.1,5.99,2008-01-16,One hospital budget project country affect go.
RD0099,DODLX,8.33,1.52,3.18,2009-03-24,Suggest bar glass human.
RD0100,DODLX,6.01,2.3,2.04,2010-05-20,Reveal appear reveal scientist popular.
RD0101,DODLX,8.44,6.49,8.05,2021-07-18,East marriage nothing look sport four bad sport.
RD0102,DODLX,9.51,3.98,9.99,2017-04-11,Career ten million thing rate wife ask.
RD0103,DODLX,0.9,2.6,7.55,2018-10-12,Sing someone serve rock.
RD0104,DODLX,4.67,2.57,5.68,2014-07-06,Age cultural star direction around billion up.
RD0105,DODLX,7.38,5.98,4.64,2012-12-06,Too discuss stock course successful surface may.
RD0106,DODLX,1.36,5.16,4.9,2012-07-15,Citizen special leg court must family else.
RD0107,DODLX,9.37,4.74,6.12,2008-08-17,Child trip future about law.
RD0108,DODLX,0.08,0.32,8.1,2020-01-05,Rock management space computer movie.
RD0109,DODLX,6.88,7.32,8.34,2014-10-26,Still specific father development need whatever.
RD0110,DODLX,0.71,3.31,8.78,2015-12-07,Outside include four.
RD0111,DODLX,5.91,0.57,3.21,2003-03-17,Good institution always draw analysis explain stuff.
RD0112,DODLX,0.09,4.02,6.71,2013-10-27,As fall owner act lay doctor too rest.
RD0113,DODLX,3.3,3.34,6.48,2005-06-25,Shake response follow take avoid.
RD0114,DODBX,7.4,9.37,5.31,2019-11-10,Always heavy push number.
RD0115,DODBX,0.92,9.16,6.99,2019-10-20,Day cover level ago.
RD0116,DODBX,9.7,6.77,5.18,2018-11-17,Interview power knowledge manager fire place.
RD0117,DODBX,4.32,4.32,9.54,2019-04-11,We get minute animal community about inside.
RD0118,DODBX,2.07,4.86,0.98,2021-04-05,Order try see memory figure teacher work toward.
RD0119,DODBX,3.62,3.99,3.33,2021-10-12,Property let large letter number.
RD0120,DODBX,5.77,9.63,4.92,2020-04-23,Book hard maybe good close.
RD0121,DODBX,5.02,0.69,7.81,2020-07-22,Political already ten.
RD0122,DODBX,1.41,2.98,4.65,2018-11-27,Floor environmental listen yourself.
RD0123,DODBX,8.54,10.0,2.38,2023-11-17,She sort receive.
RD0124,DODBX,1.26,6.79,0.29,2019-08-20,Few beat argue poor matter seem.
RD0125,DODBX,8.19,0.41,1.95,2020-11-09,Defense accept loss.
RD0126,DODBX,8.82,9.94,6.16,2020-06-03,Day relate myself.
RD0127,DODBX,7.53,7.07,2.76,2023-07-06,Sound rule drive experience out kid beat.
RD0128,DODBX,9.44,4.54,2.11,2019-03-18,Writer staff maybe my long fight.
RD0129,DODBX,6.35,3.74,1.28,2019-10-29,Compare little to grow stock build season.
RD0130,DODBX,8.88,6.91,7.41,2020-12-12,Argue economy ready avoid accept loss.
RD0131,DODBX,0.77,5.3,5.66,2022-07-25,Draw all cold whom local well culture expect.
RD0132,DODBX,2.22,7.78,0.01,2019-05-08,Environment idea happen field thank bad.
RD0133,DODBX,3.64,3.14,4.47,2019-06-26,Skill hot response series role say drug.
RD0134,DODBX,3.37,1.1,7.08,2023-01-24,Several section could hear.
RD0135,DODBX,7.26,5.18,8.06,2024-01-03,Card fish feel case involve list beat.
RD0136,DODBX,4.4,3.96,4.69,2020-09-27,Sea seem according factor.
RD0137,DODBX,2.03,0.56,5.21,2021-03-30,Talk seven however we.
RD0138,DODBX,1.66,2.43,4.27,2020-04-18,Doctor during authority beyond answer career.
RD0139,DODBX,3.91,1.21,2.1,2023-06-01,Rise how point western entire.
RD0140,DODBX,0.48,7.23,4.67,2021-03-30,Consider concern power rather their activity fast.
RD0141,DODBX,3.29,1.78,9.54,2021-01-12,However gas skill agency table.
RD0142,DODBX,4.49,4.63,9.32,2020-02-09,Stock politics paper low example bank.
RD0143,DODBX,0.57,6.72,1.3,2021-08-08,Travel car ready east.
RD0144,DODBX,4.94,2.17,5.64,2020-05-23,Certain employee always professor.
RD0145,DODBX,2.84,1.81,8.54,2022-11-23,Audience know thus audience ahead identify.
RD0146,DODBX,3.76,8.42,0.27,2019-09-30,Onto effort become on consider.
RD0147,DODBX,2.74,1.06,8.83,2020-10-21,Year all news.
RD0148,DODBX,3.81,5.41,0.55,2022-04-30,Financial more certainly talk effect.
RD0149,DODBX,8.41,8.55,7.75,2023-08-01,Discuss sit near carry quite watch.
RD0150,DODBX,3.86,4.48,7.2,2024-03-17,Up unit camera reason.
