MarketDataID,FundID,Date,NAV,Volume
MD0119,DODGX,2021-07-11,387.67,51197
MD0120,DODGX,2010-06-01,384.42,34517
MD0121,DODGX,2016-12-04,450.3,41599
MD0122,DODGX,2010-06-30,532.14,65985
MD0123,DODGX,2022-08-03,521.13,86828
MD0124,DODGX,2015-09-26,541.41,66161
MD0125,DODGX,2016-05-07,463.32,96684
MD0126,DODGX,2011-05-25,459.47,56330
MD0127,DODGX,2022-10-01,503.75,23945
MD0128,DODGX,2010-09-20,428.23,5583
MD0129,DODGX,2015-02-19,369.05,1670
MD0130,DODGX,2018-01-05,421.53,17012
MD0131,DODGX,2011-03-10,416.72,77427
MD0132,DODGX,2013-05-02,542.98,86002
MD0133,DODGX,2024-03-26,483.74,69966
MD0134,DODGX,2023-03-16,516.63,44518
MD0135,DODGX,2015-02-09,539.27,27493
MD0136,DODGX,2023-03-14,434.37,21630
MD0137,DODGX,2023-06-13,441.12,2472
MD0138,DODGX,2008-04-10,449.91,96440
MD0139,DODGX,2009-04-22,532.98,13187
MD0140,DODGX,2012-11-02,414.92,26879
MD0141,DODGX,2014-04-26,405.85,92500
MD0142,DODGX,2006-09-26,472.81,44123
MD0143,DODGX,2019-02-17,539.46,62268
MD0144,DODGX,2023-02-19,540.53,6366
MD0145,DODGX,2012-10-24,433.7,36191
MD0146,DODGX,2007-04-22,378.41,9877
MD0147,DODGX,2019-11-07,474.75,78309
MD0148,DODGX,2018-06-09,381.42,34381
MD0149,DODGX,2008-08-01,365.91,65812
MD0150,DODGX,2011-03-04,526.99,29617
MD0151,DODGX,2013-05-21,478.08,76116
MD0152,DODGX,2014-07-27,540.92,70849
MD0153,DODGX,2007-02-03,371.79,10378
MD0154,DODGX,2013-02-25,407.88,11243
MD0155,DODGX,2008-05-13,480.86,50128
MD0156,DODGX,2013-07-26,407.36,6781
MD0157,DODGX,2010-01-22,488.7,86799
MD0158,DODGX,2017-02-25,371.22,64681
MD0159,DODGX,2016-10-25,503.77,28482
MD0160,DODGX,2011-05-18,458.1,31786
MD0161,DODGX,2015-11-29,436.11,26606
MD0162,DODGX,2007-04-09,456.56,16536
MD0163,DODGX,2022-07-17,415.63,13403
MD0164,DODGX,2017-08-04,401.24,59159
MD0165,DODGX,2018-01-15,401.06,47789
MD0166,DODGX,2006-12-27,531.13,72860
MD0167,DODGX,2008-09-24,408.63,69564
MD0168,DODGX,2009-04-29,413.08,15779
MD0169,DODGX,2014-12-17,406.49,65606
MD0170,DODGX,2016-02-11,367.67,68581
MD0171,DODGX,2015-10-02,372.88,81274
MD0172,DODGX,2012-04-26,490.56,60506
MD0173,DODGX,2011-01-31,512.19,76559
MD0174,DODGX,2012-06-06,527.46,93355
MD0175,DODGX,2024-01-31,415.71,67725
MD0176,DODGX,2007-09-16,453.41,98533
MD0177,DODGX,2013-01-12,489.08,41385
MD0178,DODGX,2012-05-23,451.04,18286
MD0179,DODGX,2021-09-23,465.06,93218
MD0180,DODGX,2017-03-05,432.1,89714
MD0181,DODGX,2016-07-21,463.29,80983
MD0182,DODGX,2010-06-17,401.24,95374
MD0183,DODGX,2023-11-26,502.46,64152
MD0184,DODGX,2018-06-01,485.69,36745
MD0185,DODGX,2024-03-23,398.63,33654
MD0186,DODGX,2018-03-25,480.0,61341
MD0187,DODGX,2009-04-19,477.36,1081
MD0188,DODGX,2008-06-14,383.03,34801
MD0189,DODGX,2009-02-05,391.73,47127
MD0190,DODGX,2009-10-25,497.09,29196
MD0191,DODGX,2010-10-17,487.11,10757
MD0192,DODGX,2023-11-14,405.15,38052
MD0193,DODGX,2011-09-17,501.49,76281
MD0194,DODGX,2022-10-04,503.05,14134
MD0195,DODGX,2013-01-09,510.51,42894
MD0196,DODGX,2008-07-23,460.0,69507
MD0197,DODGX,2016-06-03,380.12,96161
MD0198,DODGX,2013-05-23,507.36,85556
MD0199,DODGX,2017-01-10,539.11,70008
MD0200,DODGX,2008-09-03,379.77,78785
MD0201,DODGX,2014-02-17,373.28,17387
MD0202,DODGX,2024-05-14,508.06,54852
MD0203,DODGX,2022-12-03,480.81,9967
MD0204,DODGX,2007-06-28,479.68,74791
MD0205,DODGX,2020-07-01,394.58,11150
MD0206,DODGX,2023-08-09,537.06,76280
MD0207,DODGX,2007-02-14,442.14,68081
MD0208,DODGX,2012-08-26,515.86,7411
MD0209,DODGX,2012-05-30,528.75,2391
MD0210,DODGX,2009-01-27,530.31,58423
MD0211,DODGX,2011-10-06,511.03,17897
MD0212,DODGX,2020-06-17,373.24,92618
MD0213,DODGX,2007-08-08,422.5,96746
MD0214,DODGX,2014-01-26,363.19,81365
MD0215,DODGX,2007-09-21,373.74,98494
MD0216,DODGX,2013-08-11,526.79,81842
MD0217,DODGX,2016-05-07,496.05,43768
MD0218,DODGX,2017-12-26,375.97,40809
MD0219,DODGX,2014-02-15,389.97,96295
MD0220,DODGX,2007-06-13,374.16,63477
MD0221,DODGX,2024-01-17,396.23,7408
MD0222,DODGX,2006-12-14,529.39,53898
MD0223,DODGX,2015-10-14,444.76,42642
MD0224,DODGX,2018-04-09,437.18,58545
MD0225,DODGX,2022-08-27,412.47,51748
MD0226,DODGX,2013-06-03,502.82,60421
MD0227,DODGX,2014-01-21,423.77,87208
MD0228,DODGX,2022-03-16,483.88,26654
MD0229,DODGX,2021-10-16,426.07,72953
MD0230,DODGX,2011-10-22,370.0,68134
MD0231,DODGX,2023-09-06,426.67,91365
MD0232,DODGX,2019-06-03,470.85,5487
MD0233,DODGX,2013-12-03,382.21,4563
MD0234,DODGX,2023-04-04,485.23,91528
MD0235,DODGX,2016-06-22,486.64,3814
MD0236,DODGX,2016-10-27,471.15,55550
MD0237,DODGX,2014-07-24,384.37,29141
MD0238,DODGX,2008-11-07,439.39,29559
MD0239,DODGX,2012-01-29,501.52,70825
MD0240,DODGX,2014-07-25,468.62,3874
MD0241,DODGX,2022-03-09,536.85,62308
MD0242,DODGX,2022-12-14,522.89,18542
MD0243,DODGX,2014-12-08,443.46,32481
MD0244,DODGX,2007-11-23,476.93,28263
MD0245,DODGX,2023-01-04,535.24,90372
MD0246,DODGX,2012-02-23,413.02,83555
MD0247,DODGX,2018-05-26,491.3,27438
MD0248,DODGX,2023-06-12,466.65,44769
MD0249,DODGX,2015-03-26,422.57,82227
MD0250,DODGX,2017-08-03,447.69,81410
MD0251,DODGX,2014-06-26,451.95,61899
MD0252,DODGX,2011-06-15,495.01,3567
MD0253,DODGX,2014-08-18,434.55,36050
MD0254,DODGX,2008-08-17,409.79,93327
MD0255,DODGX,2016-06-12,519.14,22993
MD0256,DODGX,2024-04-09,518.51,54445
MD0257,DODGX,2014-08-17,488.13,9972
MD0258,DODGX,2018-03-18,499.71,76351
MD0259,DODGX,2014-06-27,489.18,10001
MD0260,DODGX,2019-02-21,528.41,77726
MD0261,DODGX,2008-09-27,503.29,69147
MD0262,DODGX,2023-07-03,459.39,67211
MD0263,DODGX,2012-01-14,401.33,59163
MD0264,DODGX,2013-12-17,536.84,54317
MD0265,DODGX,2012-01-18,533.07,45875
MD0266,DODGX,2007-06-30,373.45,59547
MD0267,DODGX,2023-12-26,471.74,20499
MD0268,DODGX,2016-10-04,495.04,27423
MD0269,DODGX,2017-04-29,485.42,66305
MD0270,DODGX,2021-09-27,387.37,59299
MD0271,DODGX,2018-10-19,396.42,72188
MD0272,DODGX,2010-11-26,503.98,25315
MD0273,DODGX,2024-03-05,524.23,89835
MD0274,DODGX,2010-01-28,405.31,36685
MD0275,DODGX,2016-04-18,448.85,46289
MD0276,DODGX,2006-09-26,468.88,73963
MD0277,DODGX,2006-11-28,432.91,48773
MD0278,DODGX,2009-06-18,401.29,86383
MD0279,DODGX,2012-04-08,539.31,2964
MD0280,DODGX,2017-11-01,391.72,48499
MD0281,DODGX,2009-04-19,522.15,77236
MD0282,DODGX,2022-07-02,530.23,59954
MD0283,DODGX,2019-03-19,502.85,56590
MD0284,DODGX,2012-05-08,513.03,29351
MD0285,DODGX,2022-06-20,454.08,92274
MD0286,DODGX,2009-11-29,404.77,23630
MD0287,DODGX,2016-11-14,384.44,91598
MD0288,DODGX,2010-06-19,436.51,43175
MD0289,DODGX,2007-09-30,510.58,59205
MD0290,DODGX,2010-07-07,463.63,65601
MD0291,DODGX,2022-02-15,532.55,30536
MD0292,DODGX,2011-06-20,503.69,77681
MD0293,DODGX,2012-07-08,483.0,29073
MD0294,DODGX,2017-06-26,440.93,99456
MD0295,DODGX,2022-08-22,379.4,69690
MD0296,DODGX,2006-11-24,420.57,24898
MD0297,DODGX,2018-06-27,503.96,19311
MD0298,DODGX,2011-06-13,374.83,37028
MD0299,DODGX,2011-01-01,488.31,8482
MD0300,DODGX,2014-07-04,506.28,42064
MD0301,DODGX,2015-11-26,512.96,54419
MD0302,DODGX,2018-07-16,509.81,92578
MD0303,DODGX,2014-08-29,375.96,57758
MD0304,DODGX,2022-10-10,511.5,24297
MD0305,DODGX,2019-09-30,464.8,6968
MD0306,DODGX,2018-10-18,540.02,2493
MD0307,DODGX,2017-11-08,540.48,10726
MD0308,DODGX,2010-05-14,472.38,22267
MD0309,DODGX,2024-04-23,390.22,87775
MD0310,DODGX,2007-05-27,364.85,87102
MD0311,DODGX,2024-01-02,486.46,1753
MD0312,DODGX,2012-04-15,532.84,75582
MD0313,DODGX,2009-04-16,539.19,26996
MD0314,DODGX,2023-08-21,453.18,87473
MD0315,DODGX,2020-04-21,521.2,42611
MD0316,DODGX,2013-07-05,455.44,12956
MD0317,DODGX,2021-11-01,394.35,55087
MD0318,DODGX,2008-12-19,504.58,46986
MD0319,DODGX,2010-08-02,467.75,23745
MD0320,DODGX,2017-05-17,383.79,55043
MD0321,DODGX,2023-01-03,472.88,12909
MD0322,DODGX,2011-10-06,387.24,83837
MD0323,DODGX,2010-05-29,516.66,1341
MD0324,DODGX,2018-01-17,377.88,29194
MD0325,DODGX,2019-08-10,521.66,70831
MD0326,DODGX,2023-10-14,446.38,11099
MD0327,DODGX,2022-05-20,518.35,9730
MD0328,DODGX,2007-01-11,444.26,84336
MD0329,DODGX,2021-04-16,425.82,58420
MD0330,DODGX,2019-04-25,479.67,71187
MD0331,DODGX,2023-07-16,529.74,25883
MD0332,DODGX,2008-06-09,387.95,98717
MD0333,DODGX,2013-09-27,378.83,80751
MD0334,DODGX,2016-11-08,538.79,96619
MD0335,DODGX,2023-06-28,510.22,1678
MD0336,DODGX,2009-03-10,491.61,80794
MD0337,DODGX,2017-02-10,414.72,51657
MD0338,DODGX,2015-07-17,385.67,29674
MD0339,DODGX,2012-04-05,462.08,63844
MD0340,DODGX,2015-10-15,516.35,76698
MD0341,DODGX,2007-11-11,364.18,40431
MD0342,DODGX,2012-07-15,465.88,13322
MD0343,DODGX,2022-02-03,496.22,28264
MD0344,DODGX,2021-02-17,409.42,90303
MD0345,DODGX,2007-03-20,523.35,86823
MD0346,DODGX,2010-10-27,502.87,1130
MD0347,DODGX,2021-10-09,524.83,60103
MD0348,DODGX,2006-12-05,389.89,45957
MD0349,DODGX,2017-05-22,449.22,6547
MD0350,DODGX,2013-09-15,433.93,39930
MD0351,DODGX,2019-08-29,492.79,23087
MD0352,DODGX,2016-09-16,455.32,34392
MD0353,DODGX,2013-03-10,411.66,57181
MD0354,DODGX,2007-10-09,426.99,61952
MD0355,DODGX,2016-04-03,413.18,13337
MD0356,DODGX,2013-05-15,478.68,67391
MD0357,DODGX,2019-02-13,538.08,39876
MD0358,DODGX,2023-06-02,471.58,51751
MD0359,DODGX,2017-10-15,457.68,68530
MD0360,DODGX,2018-12-27,501.36,58090
MD0361,DODGX,2016-12-01,506.17,90518
MD0362,DODGX,2009-08-30,451.77,83462
MD0363,DODGX,2018-01-15,437.69,31086
MD0364,DODGX,2006-11-16,458.56,10971
MD0365,DODGX,2017-02-13,533.21,20655
MD0366,DODGX,2009-06-20,416.47,62589
MD0367,DODGX,2016-07-27,482.17,70508
MD0368,DODGX,2013-06-16,437.4,24594
MD0369,DODGX,2022-09-23,449.37,16365
MD0370,DODGX,2015-06-27,373.8,38731
MD0371,DODGX,2023-02-23,363.81,6232
MD0372,DODGX,2018-10-16,542.27,84782
MD0373,DODGX,2012-04-03,469.47,8606
MD0374,DODGX,2018-08-12,538.6,92417
MD0375,DODGX,2013-09-20,369.2,60501
MD0376,DODGX,2021-12-11,526.32,1133
MD0377,DODGX,2022-10-15,533.24,36445
MD0378,DODGX,2007-07-16,389.55,12088
MD0379,DODGX,2014-12-11,394.05,70914
MD0380,DODGX,2008-11-10,520.58,83417
MD0381,DODGX,2022-09-04,409.37,2178
MD0382,DODGX,2008-04-19,419.71,48811
MD0383,DODGX,2019-05-02,501.16,76946
MD0384,DODGX,2013-06-07,503.57,58697
MD0385,DODGX,2018-03-25,533.56,52651
MD0386,DODGX,2010-03-22,423.94,38072
MD0387,DODGX,2008-10-24,368.99,78892
MD0388,DODGX,2013-05-03,513.19,20454
MD0389,DODGX,2009-02-03,443.0,35416
MD0390,DODGX,2022-03-27,519.05,61402
MD0391,DODGX,2016-04-30,401.99,81087
MD0392,DODGX,2016-10-30,375.58,56666
MD0393,DODGX,2011-02-20,442.93,96704
MD0394,DODGX,2023-11-25,367.6,18177
MD0395,DODGX,2014-01-18,529.91,92752
MD0396,DODGX,2013-11-15,542.29,8719
MD0397,DODGX,2015-12-13,529.97,55582
MD0398,DODGX,2018-05-31,527.55,39632
MD0399,DODGX,2015-12-31,527.81,26642
MD0400,DODGX,2008-04-15,535.89,40185
MD0401,DODGX,2006-11-27,441.76,69536
MD0402,DODGX,2012-06-24,508.41,69760
MD0403,DODGX,2010-02-24,460.62,89455
MD0404,DODGX,2013-11-19,436.13,76374
MD0405,DODGX,2020-12-23,470.85,37775
MD0406,DODGX,2010-07-31,438.57,68015
MD0407,DODGX,2015-12-05,367.35,33243
MD0408,DODGX,2009-01-29,509.72,70811
MD0409,DODGX,2019-09-18,394.09,84315
MD0410,DODGX,2007-07-07,536.58,55192
MD0411,DODGX,2007-11-21,421.92,53368
MD0412,DODGX,2016-01-19,397.31,60117
MD0413,DODGX,2018-04-18,522.86,11392
MD0414,DODGX,2006-12-01,440.64,11900
MD0415,DODGX,2012-04-16,483.24,92032
MD0416,DODGX,2020-10-04,533.09,54437
MD0417,DODGX,2010-08-24,428.69,88570
MD0418,DODGX,2014-12-16,398.79,49290
MD0419,DODGX,2020-12-18,448.98,42864
MD0420,DODGX,2020-03-03,429.59,54302
MD0421,DODGX,2018-06-12,379.43,37599
MD0422,DODGX,2014-06-21,370.48,55853
MD0423,DODGX,2021-05-04,412.92,67086
MD0424,DODGX,2021-02-08,445.17,25648
MD0425,DODGX,2019-04-09,511.12,13798
MD0426,DODGX,2022-07-16,489.39,83959
MD0427,DODGX,2018-05-07,474.39,24292
MD0428,DODGX,2013-03-02,519.67,88084
MD0429,DODGX,2009-06-12,516.81,35420
MD0430,DODGX,2009-02-27,444.44,8021
MD0431,DODGX,2014-04-29,483.81,86400
MD0432,DODGX,2012-07-26,522.88,45854
MD0433,DODGX,2013-01-03,421.16,11107
MD0434,DODGX,2014-03-02,413.74,95983
MD0435,DODGX,2010-03-19,452.04,79141
MD0436,DODGX,2008-06-04,413.91,24912
MD0437,DODGX,2010-03-25,471.02,4183
MD0438,DODGX,2019-06-03,390.7,82507
MD0439,DODGX,2009-06-22,454.99,40823
MD0440,DODGX,2006-11-10,386.99,20397
MD0441,DODGX,2019-06-26,539.93,98307
MD0442,DODGX,2019-09-23,417.24,66660
MD0443,DODGX,2011-04-25,501.04,74501
MD0444,DODGX,2012-08-31,444.35,87298
MD0445,DODGX,2019-06-19,432.35,17368
MD0446,DODGX,2009-01-05,395.92,30852
MD0447,DODGX,2014-08-22,510.29,99490
MD0448,DODGX,2022-12-07,506.14,23130
MD0449,DODGX,2007-07-26,462.96,42603
MD0450,DODGX,2021-05-13,441.04,55945
MD0451,DODGX,2007-03-11,486.55,88746
MD0452,DODGX,2016-01-04,456.74,27247
MD0453,DODGX,2016-11-25,530.11,72451
MD0454,DODGX,2009-07-03,395.22,95435
MD0455,DODGX,2023-11-06,381.29,10872
MD0456,DODGX,2018-09-07,371.18,28367
MD0457,DODGX,2017-02-02,413.4,47883
MD0458,DODGX,2021-12-26,503.66,99290
MD0459,DODGX,2011-11-30,386.16,78688
MD0460,DODGX,2020-10-01,537.99,9645
MD0461,DODGX,2014-12-18,403.51,78869
MD0462,DODGX,2015-11-06,437.81,22114
MD0463,DODGX,2012-09-09,526.54,50514
MD0464,DODGX,2018-04-02,501.23,97283
MD0465,DODGX,2016-10-29,459.7,50877
MD0466,DODGX,2018-08-11,377.79,39966
MD0467,DODGX,2023-12-25,534.67,42704
MD0468,DODGX,2015-07-14,480.26,52455
MD0469,DODGX,2023-03-24,413.77,19890
MD0470,DODGX,2017-06-06,415.19,1742
MD0471,DODGX,2021-10-27,474.53,72644
MD0472,DODGX,2008-12-20,486.07,39951
MD0473,DODGX,2022-04-23,372.89,28448
MD0474,DODGX,2011-04-16,445.13,59566
MD0475,DODGX,2020-06-17,458.86,20716
MD0476,DODGX,2010-11-20,475.19,84733
MD0477,DODGX,2009-10-30,527.1,80253
MD0478,DODGX,2014-03-22,408.45,87243
MD0479,DODGX,2019-05-21,368.6,56209
MD0480,DODGX,2010-02-19,540.59,85850
MD0481,DODGX,2007-08-30,523.24,24270
MD0482,DODGX,2016-08-23,394.39,80679
MD0483,DODGX,2014-07-14,423.48,55817
MD0484,DODGX,2023-09-08,521.9,57747
MD0485,DODGX,2010-02-24,385.09,3142
MD0486,DODGX,2019-01-31,429.8,14848
MD0487,DODGX,2013-10-06,390.42,58305
MD0488,DODGX,2007-04-13,503.37,80212
MD0489,DODGX,2016-01-17,504.06,49042
MD0490,DODGX,2008-10-25,474.63,93106
MD0491,DODGX,2022-05-20,512.62,62647
MD0492,DODGX,2012-05-30,441.22,41159
MD0493,DODGX,2014-09-25,416.14,61536
MD0494,DODGX,2021-02-24,380.32,68553
MD0495,DODGX,2024-03-04,480.37,96316
MD0496,DODGX,2010-09-28,467.39,16774
MD0497,DODGX,2021-05-27,408.17,80623
MD0498,DODGX,2013-07-06,389.98,97426
MD0499,DODGX,2019-09-22,463.83,76739
MD0500,DODGX,2021-10-28,363.97,18917
MD0501,DODGX,2007-10-04,467.39,29381
MD0502,DODGX,2012-02-18,434.61,94206
MD0503,DODGX,2021-07-14,404.5,58152
MD0504,DODGX,2013-01-17,492.67,48526
MD0505,DODGX,2014-08-17,375.55,29486
MD0506,DODGX,2024-04-30,486.14,92996
MD0507,DODGX,2008-12-28,411.62,5336
MD0508,DODGX,2014-10-03,409.88,3921
MD0509,DODGX,2014-05-30,501.67,42037
MD0510,DODGX,2009-08-11,403.75,98315
MD0511,DODGX,2008-08-03,455.22,36153
MD0512,DODGX,2015-03-15,542.2,94941
MD0513,DODGX,2020-08-08,473.94,89061
MD0514,DODGX,2018-07-28,366.01,54674
MD0515,DODGX,2021-03-28,456.61,42520
MD0516,DODGX,2011-02-20,483.0,26221
MD0517,DODGX,2017-12-14,417.3,52320
MD0518,DODGX,2013-04-13,512.88,98528
MD0519,DODGX,2022-02-16,498.04,48161
MD0520,DODGX,2007-10-11,397.74,67576
MD0521,DODGX,2012-02-25,417.66,74587
MD0522,DODGX,2010-06-23,458.85,20728
MD0523,DODGX,2017-06-26,399.27,84290
MD0524,DODGX,2017-01-31,376.17,93537
MD0525,DODGX,2006-11-07,492.48,5090
MD0526,DODGX,2023-01-06,429.07,78654
MD0527,DODGX,2007-10-29,403.96,76965
MD0528,DODGX,2008-03-21,391.93,65991
MD0529,DODGX,2014-07-11,543.05,54841
MD0530,DODGX,2013-07-25,378.68,64960
MD0531,DODGX,2019-09-20,473.81,70975
MD0532,DODGX,2022-05-03,406.5,77777
MD0533,DODGX,2007-02-15,396.12,92930
MD0534,DODGX,2016-01-25,412.4,23329
MD0535,DODGX,2022-07-11,365.18,85901
MD0536,DODGX,2011-12-09,404.28,26063
MD0537,DODGX,2007-05-31,533.39,50258
MD0538,DODGX,2023-03-10,530.73,94867
MD0539,DODGX,2008-04-30,535.62,66793
MD0540,DODGX,2013-09-16,458.46,57750
MD0541,DODGX,2007-02-06,365.06,66079
MD0542,DODGX,2008-07-25,395.37,27987
MD0543,DODGX,2008-12-12,480.76,12263
MD0544,DODGX,2021-09-19,519.32,79204
MD0545,DODGX,2015-04-16,403.77,21508
MD0546,DODGX,2015-12-05,479.15,82990
MD0547,DODGX,2018-02-14,476.33,18495
MD0548,DODGX,2009-02-28,441.38,70207
MD0549,DODGX,2019-05-16,537.93,44403
MD0550,DODGX,2010-03-21,474.9,53157
MD0551,DODGX,2020-04-04,511.35,72616
MD0552,DODGX,2014-10-19,398.89,75032
MD0553,DODGX,2022-04-13,375.36,49159
MD0554,DODGX,2007-06-06,484.63,16256
MD0555,DODGX,2017-04-25,415.97,17075
MD0556,DODGX,2018-07-20,489.69,25300
MD0557,DODGX,2012-10-05,542.13,27126
MD0558,DODGX,2021-04-30,403.84,83500
MD0559,DODGX,2016-01-09,542.66,22984
MD0560,DODGX,2015-12-25,475.02,78850
MD0561,DODGX,2019-01-23,421.33,48698
MD0562,DODGX,2017-01-02,369.54,54218
MD0563,DODGX,2018-03-17,402.1,8980
MD0564,DODGX,2019-06-29,393.51,42299
MD0565,DODGX,2016-08-19,458.82,24490
MD0566,DODGX,2023-08-21,375.96,85908
MD0567,DODGX,2015-03-24,476.35,41149
MD0568,DODGX,2022-12-25,477.56,79041
MD0569,DODGX,2014-11-07,501.5,4851
MD0570,DODGX,2008-09-03,515.15,34338
MD0571,DODGX,2010-06-14,442.15,68238
MD0572,DODGX,2014-04-15,460.63,13922
MD0573,DODGX,2012-03-04,387.91,69840
MD0574,DODGX,2013-06-19,485.15,10252
MD0575,DODGX,2018-04-23,398.43,77968
MD0576,DODGX,2007-12-18,530.16,23142
MD0577,DODGX,2020-04-18,488.61,72916
MD0578,DODGX,2007-11-18,500.98,8217
MD0579,DODGX,2021-11-28,463.07,24775
MD0580,DODGX,2020-01-29,473.53,97178
MD0581,DODGX,2019-02-19,471.88,18753
