ComplianceID,productID,ComplianceMetric,Date
244,1145,Metric2,2022-12-17
245,1088,Metric1,2022-08-24
246,1045,Metric3,2023-02-27
247,1085,Metric2,2023-07-04
248,1044,Metric1,2022-08-20
249,1056,Metric1,2024-03-01
250,1139,Metric3,2023-07-17
251,1097,Metric2,2024-01-26
252,1128,Metric2,2023-05-04
253,1064,Metric3,2024-05-30
254,1146,Metric3,2024-02-02
255,1101,Metric2,2022-07-20
256,1037,Metric2,2023-06-05
257,1033,Metric1,2024-04-20
258,1001,Metric1,2022-10-28
259,1010,Metric3,2023-01-06
260,1127,Metric3,2024-03-21
261,1053,Metric2,2024-05-14
262,1064,Metric1,2023-10-20
263,1140,Metric1,2022-11-22
264,1130,Metric3,2023-02-17
265,1136,Metric3,2023-05-15
266,1027,Metric3,2023-09-21
267,1131,Metric2,2023-06-07
268,1132,Metric3,2023-09-20
269,1089,Metric1,2024-01-21
270,1104,Metric3,2024-03-30
271,1027,Metric2,2022-08-27
272,1041,Metric2,2023-08-11
273,1003,Metric2,2023-12-20
274,1023,Metric3,2024-03-01
275,1019,Metric2,2024-01-24
276,1006,Metric2,2022-08-27
277,1003,Metric2,2023-11-09
278,1087,Metric1,2024-05-02
279,1106,Metric1,2023-03-27
280,1009,Metric2,2023-02-02
281,1121,Metric1,2023-08-21
282,1124,Metric1,2022-08-02
283,1021,Metric1,2023-10-26
284,1106,Metric1,2024-01-10
285,1035,Metric1,2023-10-15
286,1037,Metric2,2022-11-28
287,1085,Metric3,2023-09-08
288,1122,Metric2,2024-03-24
289,1106,Metric1,2023-11-02
290,1079,Metric2,2023-11-09
291,1130,Metric3,2023-05-18
292,1021,Metric1,2022-11-18
293,1003,Metric2,2024-01-21
294,1018,Metric3,2023-07-11
295,1049,Metric1,2024-06-21
296,1043,Metric2,2022-07-04
297,1060,Metric2,2022-07-28
298,1011,Metric2,2023-01-17
299,1008,Metric1,2024-04-30
300,1075,Metric2,2024-04-12
301,1050,Metric3,2022-07-16
302,1011,Metric1,2023-11-09
303,1062,Metric2,2023-02-01
304,1134,Metric3,2024-06-08
305,1098,Metric2,2023-12-13
306,1113,Metric3,2023-06-06
307,1097,Metric2,2022-10-03
308,1013,Metric1,2024-02-06
309,1064,Metric2,2023-01-09
310,1123,Metric3,2024-03-08
311,1113,Metric1,2023-12-03
312,1123,Metric1,2022-10-24
313,1110,Metric1,2023-10-11
314,1091,Metric1,2022-10-27
315,1056,Metric3,2023-02-01
316,1076,Metric1,2023-01-08
317,1094,Metric2,2024-05-30
318,1068,Metric1,2023-01-13
319,1113,Metric2,2023-06-09
320,1010,Metric1,2022-12-24
321,1005,Metric2,2024-03-31
322,1070,Metric1,2023-05-17
323,1063,Metric2,2023-10-31
324,1036,Metric2,2023-10-18
325,1128,Metric1,2023-07-21
326,1052,Metric2,2022-12-31
327,1013,Metric1,2022-07-04
328,1067,Metric1,2023-07-05
329,1098,Metric2,2023-10-29
330,1042,Metric1,2024-06-02
331,1081,Metric3,2022-10-05
332,1070,Metric3,2023-09-29
333,1143,Metric2,2024-06-17
334,1078,Metric2,2023-10-12
335,1117,Metric2,2023-10-24
336,1064,Metric1,2024-02-09
337,1135,Metric1,2022-08-08
338,1104,Metric3,2022-06-27
339,1050,Metric3,2024-06-03
340,1097,Metric2,2022-11-10
341,1078,Metric2,2023-11-15
342,1140,Metric2,2023-08-24
343,1003,Metric2,2023-10-20
344,1069,Metric2,2024-05-27
345,1120,Metric1,2023-04-15
346,1081,Metric3,2022-08-17
347,1085,Metric2,2023-03-17
348,1052,Metric1,2022-07-31
349,1029,Metric1,2023-03-01
350,1062,Metric2,2022-08-27
351,1094,Metric3,2024-01-28
352,1011,Metric1,2022-09-23
353,1076,Metric1,2023-03-13
354,1116,Metric3,2023-12-14
355,1098,Metric1,2023-08-04
356,1119,Metric3,2024-04-27
357,1101,Metric3,2024-06-10
358,1135,Metric2,2024-04-27
359,1084,Metric3,2022-08-31
360,1092,Metric1,2023-07-26
361,1052,Metric3,2022-09-27
362,1123,Metric3,2023-05-18
363,1095,Metric1,2024-06-04
364,1011,Metric3,2024-01-20
365,1088,Metric3,2023-02-11
366,1061,Metric2,2024-03-02
367,1011,Metric3,2022-08-11
368,1128,Metric2,2023-08-09
369,1085,Metric3,2024-04-16
370,1110,Metric2,2024-02-14
371,1102,Metric1,2023-10-09
372,1102,Metric2,2022-10-24
373,1015,Metric1,2024-04-19
374,1111,Metric3,2023-02-20
375,1094,Metric1,2023-04-18
376,1087,Metric2,2022-06-26
377,1031,Metric3,2023-05-07
378,1095,Metric3,2023-05-28
379,1074,Metric1,2023-11-06
380,1062,Metric1,2023-06-08
381,1106,Metric3,2022-08-31
382,1097,Metric3,2023-01-17
383,1143,Metric1,2023-07-07
384,1031,Metric3,2022-09-16
385,1025,Metric1,2023-05-10
386,1007,Metric3,2022-08-23
387,1004,Metric2,2022-06-29
388,1025,Metric3,2023-08-12
389,1070,Metric1,2024-01-05
390,1030,Metric1,2022-09-11
391,1021,Metric3,2023-12-28
392,1056,Metric3,2023-07-24
393,1019,Metric1,2023-02-05
394,1145,Metric2,2023-10-05
395,1060,Metric2,2024-03-08
396,1101,Metric2,2023-07-19
397,1106,Metric3,2023-07-05
398,1098,Metric1,2023-07-14
399,1138,Metric3,2023-11-25
400,1142,Metric2,2023-03-25
401,1141,Metric1,2023-04-04
402,1040,Metric2,2023-10-24
403,1019,Metric1,2024-04-29
404,1124,Metric3,2024-06-07
405,1113,Metric3,2022-12-05
406,1056,Metric1,2023-06-27
407,1149,Metric3,2022-07-21
408,1058,Metric3,2023-05-10
409,1018,Metric2,2024-03-07
410,1095,Metric3,2022-06-26
411,1025,Metric1,2023-10-03
412,1048,Metric1,2023-12-31
413,1009,Metric3,2023-08-24
414,1090,Metric3,2023-09-11
415,1050,Metric2,2024-01-07
416,1100,Metric3,2023-04-08
417,1113,Metric2,2023-09-04
418,1069,Metric2,2022-08-07
419,1132,Metric2,2024-04-21
420,1113,Metric1,2023-11-29
421,1097,Metric1,2024-04-04
422,1142,Metric1,2023-02-07
423,1103,Metric1,2023-07-01
424,1045,Metric3,2024-02-06
425,1033,Metric3,2023-10-16
426,1119,Metric3,2023-05-24
427,1084,Metric2,2023-12-15
428,1046,Metric3,2023-01-23
429,1032,Metric2,2022-10-01
430,1040,Metric2,2022-06-27
431,1142,Metric3,2023-07-26
432,1060,Metric1,2022-10-25
433,1097,Metric2,2022-11-24
434,1061,Metric2,2024-05-03
435,1021,Metric3,2024-01-09
436,1025,Metric3,2023-11-03
437,1136,Metric2,2023-03-17
438,1060,Metric1,2023-08-06
439,1011,Metric1,2024-05-22
440,1062,Metric3,2022-11-23
441,1026,Metric1,2022-07-26
442,1148,Metric3,2023-12-11
443,1108,Metric2,2023-03-31
444,1122,Metric1,2023-06-24
445,1104,Metric2,2024-01-01
446,1016,Metric1,2023-10-27
447,1071,Metric3,2023-04-19
448,1095,Metric3,2023-04-02
449,1131,Metric1,2023-12-15
450,1144,Metric2,2023-10-09
451,1031,Metric3,2023-12-26
452,1058,Metric1,2023-08-14
453,1080,Metric1,2022-10-15
454,1128,Metric1,2024-03-23
455,1086,Metric2,2022-06-26
456,1141,Metric2,2022-11-03
457,1048,Metric2,2023-08-02
458,1073,Metric1,2022-11-26
459,1120,Metric3,2023-11-19
460,1149,Metric3,2023-10-27
461,1116,Metric1,2022-11-04
462,1041,Metric2,2024-04-23
463,1023,Metric1,2023-11-09
464,1008,Metric2,2024-05-21
465,1085,Metric2,2023-03-05
466,1020,Metric1,2023-09-24
467,1022,Metric1,2023-02-02
468,1139,Metric1,2023-05-05
469,1145,Metric3,2022-11-06
470,1027,Metric1,2023-03-01
471,1012,Metric2,2023-11-25
472,1077,Metric2,2022-10-22
473,1063,Metric3,2022-12-11
474,1114,Metric3,2023-10-27
475,1057,Metric1,2022-09-02
476,1079,Metric2,2023-09-20
477,1142,Metric2,2023-05-28
478,1004,Metric2,2022-08-27
479,1107,Metric3,2023-06-16
480,1008,Metric1,2022-09-23
481,1042,Metric1,2023-11-19
482,1071,Metric2,2023-01-10
483,1145,Metric2,2023-02-23
484,1132,Metric1,2024-03-07
485,1056,Metric2,2023-09-12
486,1136,Metric3,2024-04-02
487,1122,Metric1,2024-02-05
488,1104,Metric1,2023-06-28
489,1059,Metric3,2023-02-10
490,1132,Metric3,2023-10-31
491,1114,Metric1,2023-06-18
492,1031,Metric3,2023-01-13
493,1138,Metric2,2023-06-09
494,1139,Metric1,2022-06-25
495,1101,Metric1,2022-07-31
496,1029,Metric2,2022-07-14
497,1115,Metric2,2023-06-29
498,1012,Metric1,2023-07-16
499,1088,Metric2,2024-01-15
500,1086,Metric2,2023-08-23
501,1018,Metric3,2024-05-08
502,1046,Metric2,2022-12-04
503,1129,Metric2,2023-11-02
504,1032,Metric1,2023-06-01
505,1004,Metric1,2022-11-19
506,1119,Metric2,2024-06-15
507,1013,Metric2,2024-05-24
508,1016,Metric3,2022-10-07
509,1073,Metric2,2022-08-21
510,1075,Metric2,2022-12-02
511,1042,Metric2,2024-05-04
512,1137,Metric3,2024-06-07
513,1113,Metric2,2024-05-23
514,1018,Metric2,2023-11-15
515,1058,Metric3,2023-08-15
516,1011,Metric2,2023-01-31
517,1050,Metric2,2022-10-08
518,1148,Metric2,2024-06-19
519,1001,Metric2,2023-03-08
520,1145,Metric3,2024-01-06
521,1041,Metric1,2023-08-15
522,1106,Metric2,2024-06-23
523,1032,Metric3,2023-06-24
524,1042,Metric3,2022-08-10
525,1088,Metric1,2023-02-27
526,1130,Metric1,2022-11-21
527,1108,Metric2,2023-03-23
528,1004,Metric2,2022-08-28
529,1140,Metric1,2023-11-14
530,1098,Metric3,2023-12-15
531,1068,Metric1,2024-06-20
532,1048,Metric2,2022-09-11
533,1113,Metric1,2023-03-10
534,1061,Metric3,2023-10-23
535,1134,Metric3,2023-11-12
536,1050,Metric2,2023-12-19
537,1016,Metric3,2023-08-11
538,1129,Metric2,2024-03-11
539,1059,Metric1,2024-05-26
540,1086,Metric3,2023-02-05
541,1071,Metric3,2022-10-31
542,1002,Metric3,2024-05-26
543,1006,Metric2,2024-03-13
544,1036,Metric3,2023-10-11
545,1005,Metric3,2022-12-13
546,1087,Metric2,2023-09-24
547,1038,Metric1,2023-10-21
548,1043,Metric1,2024-01-19
549,1085,Metric2,2024-01-12
550,1080,Metric1,2024-01-28
