RiskID,productID,MarketRisk,CreditRisk,OperationalRisk,Date
83,1009,0.64,0.96,0.56,2022-07-23
84,1018,0.69,0.91,0.31,2023-06-26
85,1054,0.56,0.98,0.58,2023-03-26
86,1078,0.49,0.1,0.34,2024-06-11
87,1145,0.61,0.76,0.79,2024-02-02
88,1014,0.52,0.18,0.69,2023-09-24
89,1085,0.26,0.44,0.93,2024-05-04
90,1035,0.65,0.11,0.12,2022-07-28
91,1113,0.66,0.97,0.34,2023-09-24
92,1131,0.86,0.32,0.67,2022-11-15
93,1048,0.17,0.6,0.83,2022-11-07
94,1040,0.49,0.44,0.64,2024-04-27
95,1113,0.36,0.42,0.01,2022-08-09
96,1053,0.98,0.69,0.72,2022-08-13
97,1036,0.85,0.34,0.75,2022-10-01
98,1100,0.28,0.58,0.08,2023-10-03
99,1133,0.25,0.1,0.11,2024-03-02
100,1103,0.01,0.57,0.41,2022-07-11
101,1070,0.45,0.64,0.44,2023-12-06
102,1073,0.65,0.72,0.34,2022-07-08
103,1148,0.87,0.77,0.26,2022-07-01
104,1081,0.33,0.87,0.91,2022-10-07
105,1090,0.97,0.28,0.13,2022-12-13
106,1084,0.14,0.98,0.76,2023-05-25
107,1079,0.55,0.75,0.45,2024-05-31
108,1136,0.44,0.09,0.97,2023-11-23
109,1078,0.58,0.04,0.8,2023-02-18
110,1045,0.87,0.54,0.28,2024-01-04
111,1133,0.14,0.54,0.05,2023-07-14
112,1052,0.7,0.14,0.32,2024-05-08
113,1005,0.37,0.26,0.86,2023-10-15
114,1094,0.94,0.96,0.77,2024-02-26
115,1109,0.97,0.1,0.08,2023-06-11
116,1083,0.48,0.4,0.57,2023-07-29
117,1087,0.58,0.77,0.04,2024-02-16
118,1021,0.58,0.67,0.38,2023-10-16
119,1043,0.56,0.18,0.13,2022-09-18
120,1136,0.64,0.55,0.78,2024-03-13
121,1033,0.27,0.93,0.85,2024-03-30
122,1143,1.0,0.85,0.71,2023-11-10
123,1024,0.47,0.12,0.96,2024-06-18
124,1135,0.68,0.31,0.27,2022-09-12
125,1142,0.14,0.52,0.91,2022-09-04
126,1139,0.13,0.33,0.37,2022-10-12
127,1093,0.03,0.17,0.41,2022-10-31
128,1058,0.85,0.54,0.11,2023-11-18
129,1017,0.96,0.1,0.59,2023-05-19
130,1136,0.82,0.36,0.68,2022-12-09
131,1131,0.25,0.24,0.45,2024-02-08
132,1004,0.58,0.13,0.43,2022-10-20
133,1117,0.18,0.64,0.09,2024-01-22
134,1019,0.51,0.3,0.58,2023-12-02
135,1086,0.61,0.06,0.9,2023-02-11
136,1133,0.65,0.86,0.82,2023-11-08
137,1037,0.71,0.42,0.29,2024-05-18
138,1150,0.36,0.32,0.85,2023-06-11
139,1144,0.73,0.74,0.22,2023-05-21
140,1060,0.17,0.32,0.05,2022-06-25
141,1098,0.91,0.9,0.19,2023-04-06
142,1009,0.62,0.02,0.25,2022-07-03
143,1045,0.52,0.03,0.53,2022-10-05
144,1100,0.03,0.8,0.82,2023-07-10
145,1064,0.79,0.22,0.5,2023-08-01
146,1015,0.14,0.42,0.62,2024-03-31
147,1074,0.39,0.72,0.87,2023-12-18
148,1091,0.83,0.68,0.77,2023-11-01
149,1088,0.59,0.09,0.09,2024-05-31
150,1033,0.05,0.93,0.67,2023-01-24
151,1044,0.13,0.55,0.53,2024-01-10
152,1008,0.69,0.85,0.28,2022-08-01
153,1101,0.15,0.76,0.65,2024-06-04
154,1082,0.17,0.11,0.09,2022-08-07
155,1091,0.07,0.07,0.29,2023-05-05
156,1008,0.09,0.1,0.34,2023-08-11
157,1060,0.54,0.38,0.5,2024-03-22
158,1050,0.19,0.36,0.86,2023-06-05
159,1132,0.83,0.88,0.98,2023-06-01
160,1134,0.44,0.82,0.6,2024-04-27
161,1032,0.82,0.78,0.76,2023-07-05
162,1110,0.14,0.98,0.81,2024-01-31
163,1136,0.13,0.9,0.9,2024-06-02
164,1071,0.05,0.57,0.07,2023-02-16
165,1062,0.63,0.07,0.84,2023-12-13
166,1024,0.69,0.38,0.5,2024-05-28
167,1018,0.39,0.57,0.95,2023-09-27
168,1095,0.62,0.6,0.13,2022-07-19
169,1103,0.1,0.58,0.46,2022-11-02
170,1104,0.67,0.88,0.51,2024-02-04
171,1010,0.94,0.36,0.83,2023-01-07
172,1024,0.78,0.17,0.25,2024-03-22
173,1020,0.86,0.36,0.36,2023-03-03
174,1127,0.43,0.11,0.73,2022-09-09
175,1070,0.11,0.58,0.37,2024-05-11
176,1080,0.81,0.39,0.32,2023-10-23
177,1003,0.78,0.19,0.29,2024-03-25
178,1044,0.7,0.56,0.54,2023-09-19
179,1097,0.73,0.35,0.4,2023-10-27
180,1112,0.9,0.58,0.68,2022-11-21
181,1044,0.36,0.97,0.11,2022-08-10
182,1094,0.1,0.88,0.17,2022-07-30
183,1065,0.63,0.82,0.7,2023-01-10
184,1130,0.35,0.21,0.05,2023-10-24
185,1099,0.38,0.41,0.78,2022-12-25
186,1130,0.93,0.87,0.34,2023-06-03
187,1149,0.99,0.14,0.61,2023-07-08
188,1084,0.83,0.08,0.31,2023-11-17
189,1063,0.4,0.9,0.48,2022-09-20
190,1082,0.7,0.55,0.76,2022-10-05
191,1050,0.91,0.51,0.7,2022-09-14
192,1098,0.08,0.82,0.42,2024-02-25
193,1107,0.77,0.14,0.14,2023-11-02
194,1089,0.38,0.44,0.66,2022-11-10
195,1119,0.05,0.07,0.43,2022-06-29
196,1127,0.9,0.12,0.27,2022-09-13
197,1006,0.82,0.46,0.78,2023-09-19
198,1012,0.76,0.87,0.2,2022-07-26
199,1067,0.32,0.43,0.57,2023-05-20
200,1119,0.35,0.92,0.98,2024-02-29
201,1107,0.97,0.54,0.18,2022-10-20
202,1050,0.84,0.64,0.64,2023-06-28
203,1148,0.93,0.21,0.96,2022-10-23
204,1025,0.1,0.64,0.53,2023-09-22
205,1128,0.41,0.46,0.96,2023-04-05
206,1040,0.3,0.18,0.59,2024-01-23
207,1086,0.76,0.37,0.2,2024-03-16
208,1136,0.2,0.68,0.19,2022-10-14
209,1024,0.71,0.3,0.3,2022-10-21
210,1003,0.9,0.38,0.48,2023-10-06
211,1131,0.13,0.68,0.58,2024-01-23
212,1062,0.88,0.66,0.74,2023-02-20
213,1059,0.05,0.69,0.39,2023-07-18
214,1077,0.11,0.16,0.0,2023-08-06
215,1053,0.44,0.43,0.76,2024-03-24
216,1039,0.36,0.49,0.4,2023-09-22
217,1138,0.99,0.45,0.3,2024-01-19
218,1046,0.47,0.5,0.27,2023-12-12
219,1109,0.13,0.6,0.48,2024-01-12
220,1040,0.14,0.89,0.85,2022-12-02
221,1097,0.35,0.43,0.35,2022-07-30
222,1110,0.71,0.58,0.01,2024-02-26
223,1110,0.78,0.86,0.7,2024-04-23
224,1127,0.58,0.58,0.54,2024-03-10
225,1088,0.16,0.52,0.4,2022-11-27
226,1087,0.63,0.73,0.7,2023-04-24
227,1080,0.79,0.95,0.1,2023-03-26
228,1131,0.46,0.71,0.51,2022-11-16
229,1113,0.3,0.25,0.69,2024-01-04
230,1062,0.89,0.24,0.84,2023-11-02
231,1030,0.66,0.92,0.4,2023-04-01
232,1098,0.41,0.12,0.19,2022-09-01
233,1087,0.83,0.84,0.31,2023-01-06
234,1010,0.8,0.18,0.86,2023-04-15
235,1128,0.03,0.37,0.1,2024-03-23
236,1131,0.72,0.07,0.92,2022-09-04
237,1118,0.22,0.67,0.57,2023-09-04
238,1079,0.22,0.44,0.06,2023-03-14
239,1094,0.91,0.77,0.78,2023-08-18
240,1015,0.73,0.33,0.6,2023-12-06
241,1050,0.72,0.45,0.27,2022-09-30
242,1047,0.55,0.04,0.64,2023-11-13
243,1108,0.96,0.08,0.01,2024-01-13
244,1016,0.52,0.14,0.14,2022-08-28
245,1010,0.45,0.92,0.06,2023-12-19
246,1078,0.83,0.13,1.0,2023-01-31
247,1002,0.03,0.02,0.72,2024-05-10
248,1068,0.68,0.97,0.89,2024-04-07
249,1102,0.67,0.3,0.31,2022-12-19
250,1130,0.65,0.58,0.25,2024-04-22
251,1073,0.69,0.84,0.61,2023-04-03
252,1036,0.31,0.61,0.63,2022-11-07
253,1110,0.84,0.48,0.27,2023-08-14
254,1074,0.37,0.53,0.81,2022-12-02
255,1078,0.58,0.87,0.65,2024-02-20
256,1142,0.12,0.23,0.1,2022-10-09
257,1108,0.73,0.29,0.42,2023-02-21
258,1097,0.2,0.04,0.59,2023-07-10
259,1130,0.86,0.13,0.06,2022-08-06
260,1092,0.17,0.01,0.74,2023-11-26
261,1027,0.35,0.56,0.09,2023-06-04
262,1145,0.28,0.39,0.57,2024-02-18
263,1137,0.43,0.39,0.31,2024-05-10
264,1016,0.06,0.92,0.21,2022-07-27
265,1055,0.11,0.48,0.25,2024-05-04
266,1094,0.98,0.74,0.38,2023-05-07
267,1041,0.85,0.9,0.66,2024-02-01
268,1123,0.46,0.29,0.18,2024-02-02
269,1054,0.2,0.98,0.68,2022-11-19
270,1122,0.24,0.01,0.73,2024-04-27
271,1090,0.67,0.54,0.77,2024-01-24
272,1142,0.38,0.42,0.33,2024-02-27
273,1050,0.46,0.63,0.27,2023-09-07
274,1103,0.46,0.34,0.43,2023-01-21
275,1043,0.58,0.99,0.64,2024-05-27
276,1024,0.5,0.48,0.11,2023-03-11
277,1083,0.0,0.94,0.18,2022-12-10
278,1065,0.14,0.1,0.31,2023-06-08
279,1079,0.76,0.06,0.5,2022-11-16
280,1107,0.4,0.13,0.45,2023-12-08
281,1063,0.98,0.57,0.86,2022-07-23
282,1051,0.82,0.84,0.89,2023-09-15
283,1104,0.55,0.0,0.6,2023-04-06
284,1060,0.69,0.5,0.22,2024-05-23
285,1033,0.95,0.02,0.51,2022-09-13
286,1046,1.0,0.84,0.27,2022-10-07
287,1129,0.17,0.96,0.77,2023-02-02
288,1131,0.16,0.18,0.89,2023-12-27
289,1095,0.39,0.69,0.14,2024-02-09
290,1106,0.74,0.45,0.98,2023-10-22
291,1114,0.55,0.25,0.12,2023-01-26
292,1138,0.87,0.63,0.31,2023-01-16
293,1060,0.98,0.08,0.83,2023-01-31
294,1063,0.82,0.25,0.2,2024-04-07
295,1061,0.29,0.57,0.2,2023-12-29
296,1149,0.43,0.96,0.04,2023-07-10
297,1078,0.49,0.45,0.49,2022-11-03
298,1135,0.2,0.65,0.25,2023-03-23
299,1015,0.95,0.28,0.86,2024-03-24
300,1058,0.11,0.11,0.12,2022-11-05
